subscription_id,customer_id,platform,start_date,end_date,price,plan_type,status
38,954,Netflix,16-12-2024,06-12-2025,299,Monthly,Expired
39,773,Netflix,10-08-2025,29-12-2025,199,Quarterly,Active
40,1069,Zee5,16-10-2024,19-05-2026,99,Yearly,Expired
41,4167,SonyLIV,09-08-2025,02-03-2026,299,Quarterly,Active
42,1849,Amazon Prime,13-03-2024,04-01-2026,299,Monthly,Expired
43,3704,Disney+ Hotstar,18-10-2024,07-12-2025,299,Monthly,Active
44,3844,Disney+ Hotstar,12-06-2024,04-01-2026,199,Yearly,Expired
45,2446,Zee5,26-09-2025,21-04-2026,149,Monthly,Active
46,228,SonyLIV,06-04-2024,15-04-2026,149,Yearly,Expired
47,3060,Zee5,30-10-2025,13-04-2026,199,Yearly,Expired
48,1565,Disney+ Hotstar,30-09-2025,27-04-2026,499,Quarterly,Expired
49,4780,Netflix,13-08-2024,22-01-2026,99,Quarterly,Expired
50,510,Netflix,08-01-2025,13-03-2026,149,Monthly,Active
51,1541,SonyLIV,08-04-2025,06-01-2026,149,Monthly,Active
52,5096,SonyLIV,15-05-2024,25-01-2026,299,Monthly,Expired
53,529,Netflix,27-08-2025,09-12-2025,199,Yearly,Active
54,2264,Disney+ Hotstar,12-09-2025,10-05-2026,299,Monthly,Expired
55,4328,Netflix,21-01-2025,01-02-2026,499,Yearly,Expired
56,3347,Netflix,23-10-2024,03-12-2025,99,Monthly,Expired
57,4634,Disney+ Hotstar,04-05-2024,17-12-2025,299,Monthly,Active
58,2553,Zee5,06-12-2023,20-01-2026,499,Quarterly,Active
59,1074,Netflix,09-06-2024,04-03-2026,149,Yearly,Active
60,4123,Zee5,09-12-2023,25-03-2026,149,Quarterly,Active
61,5973,Zee5,16-10-2025,17-03-2026,299,Quarterly,Active
62,3932,SonyLIV,12-02-2025,05-02-2026,499,Monthly,Active
63,4733,Zee5,20-01-2025,06-04-2026,149,Yearly,Active
64,5143,SonyLIV,11-07-2024,25-04-2026,149,Monthly,Active
65,3494,Disney+ Hotstar,17-07-2024,19-12-2025,499,Quarterly,Expired
66,5050,Netflix,03-02-2025,03-03-2026,499,Monthly,Active
67,4231,Disney+ Hotstar,26-05-2025,03-03-2026,299,Monthly,Expired
68,2246,Zee5,11-02-2024,13-03-2026,299,Monthly,Active
69,4405,SonyLIV,08-09-2025,14-12-2025,299,Monthly,Expired
70,2678,Netflix,20-10-2024,12-02-2026,299,Quarterly,Active
71,2172,Disney+ Hotstar,14-08-2025,05-01-2026,99,Monthly,Expired
72,411,Zee5,16-03-2025,09-01-2026,149,Yearly,Expired
73,5239,SonyLIV,31-05-2024,05-03-2026,299,Monthly,Expired
74,4348,SonyLIV,28-09-2024,22-01-2026,199,Yearly,Active
75,5359,Amazon Prime,18-12-2023,24-02-2026,199,Quarterly,Expired
76,3726,Netflix,18-04-2024,13-03-2026,299,Quarterly,Expired
77,4691,Zee5,28-08-2024,22-05-2026,149,Quarterly,Active
78,3099,Zee5,13-05-2025,10-12-2025,199,Quarterly,Expired
79,171,Disney+ Hotstar,22-04-2025,06-03-2026,149,Quarterly,Active
80,2292,Netflix,29-07-2025,15-03-2026,199,Quarterly,Active
81,1747,Zee5,18-05-2025,02-02-2026,499,Yearly,Active
82,1528,Netflix,20-07-2025,06-02-2026,99,Quarterly,Expired
83,5754,Disney+ Hotstar,02-10-2024,13-02-2026,149,Quarterly,Active
84,1976,SonyLIV,11-04-2024,28-01-2026,499,Yearly,Active
85,183,Netflix,21-07-2024,05-02-2026,199,Quarterly,Active
86,1038,Zee5,25-10-2025,08-03-2026,499,Yearly,Expired
87,83,SonyLIV,12-04-2025,27-03-2026,299,Quarterly,Active
88,2012,Disney+ Hotstar,25-03-2024,10-05-2026,199,Monthly,Expired
89,2514,Netflix,23-06-2025,13-04-2026,199,Quarterly,Expired
90,5562,Disney+ Hotstar,29-05-2024,23-12-2025,199,Monthly,Expired
91,1532,Zee5,17-06-2025,31-12-2025,149,Monthly,Expired
92,523,Netflix,16-12-2024,22-01-2026,499,Quarterly,Active
93,4875,Amazon Prime,08-02-2024,16-03-2026,199,Yearly,Expired
94,1150,Netflix,30-07-2024,08-02-2026,149,Yearly,Expired
95,5673,Netflix,14-02-2024,21-02-2026,299,Yearly,Active
96,537,SonyLIV,25-06-2024,05-05-2026,199,Monthly,Expired
97,3044,Netflix,10-09-2024,17-12-2025,499,Yearly,Active
98,1898,Netflix,28-05-2024,21-12-2025,149,Monthly,Active
99,4279,Disney+ Hotstar,27-11-2025,11-02-2026,99,Monthly,Expired
100,548,SonyLIV,26-05-2025,20-01-2026,299,Yearly,Active
101,218,SonyLIV,17-12-2024,15-05-2026,99,Monthly,Expired
102,5825,SonyLIV,03-03-2024,09-05-2026,99,Yearly,Expired
103,4398,Netflix,28-05-2025,03-05-2026,299,Monthly,Expired
104,3334,Zee5,28-07-2025,26-05-2026,499,Quarterly,Expired
105,1907,Amazon Prime,26-03-2025,13-03-2026,99,Quarterly,Active
106,2121,Amazon Prime,10-12-2024,13-01-2026,99,Quarterly,Active
107,4962,Amazon Prime,01-08-2025,17-02-2026,99,Monthly,Expired
108,3011,Zee5,24-10-2025,15-12-2025,199,Monthly,Expired
109,1534,Netflix,02-01-2024,01-02-2026,199,Yearly,Active
110,5266,SonyLIV,04-04-2025,15-05-2026,99,Monthly,Active
111,3224,Netflix,16-10-2024,18-01-2026,149,Monthly,Expired
112,4348,SonyLIV,29-04-2025,04-04-2026,499,Quarterly,Expired
113,1134,Amazon Prime,18-11-2025,21-03-2026,99,Yearly,Active
114,3299,SonyLIV,08-06-2024,22-01-2026,299,Yearly,Active
115,3237,SonyLIV,23-05-2024,09-05-2026,149,Yearly,Expired
116,45,Zee5,08-02-2025,20-02-2026,149,Quarterly,Active
117,2840,Amazon Prime,26-12-2024,25-02-2026,99,Yearly,Expired
118,1622,Netflix,29-03-2024,31-12-2025,99,Monthly,Active
119,5926,Zee5,23-04-2024,27-01-2026,149,Monthly,Active
120,2469,Amazon Prime,19-10-2024,12-04-2026,99,Quarterly,Active
121,2608,Disney+ Hotstar,16-02-2024,22-03-2026,499,Quarterly,Expired
122,1465,Netflix,03-06-2024,22-12-2025,99,Monthly,Expired
123,3077,SonyLIV,07-07-2024,22-02-2026,499,Quarterly,Active
124,2859,Disney+ Hotstar,14-10-2024,21-12-2025,149,Yearly,Active
125,4600,Zee5,14-08-2025,17-02-2026,199,Yearly,Expired
126,5618,Amazon Prime,20-04-2024,12-01-2026,99,Yearly,Expired
127,5694,Zee5,25-02-2025,07-05-2026,99,Yearly,Expired
128,605,Amazon Prime,20-05-2025,30-12-2025,99,Yearly,Active
129,814,Zee5,10-02-2024,03-02-2026,199,Monthly,Active
130,2840,Disney+ Hotstar,09-06-2025,18-01-2026,99,Yearly,Active
131,2433,Amazon Prime,14-08-2025,10-03-2026,149,Quarterly,Expired
132,3069,Amazon Prime,06-03-2024,13-01-2026,499,Yearly,Active
133,2861,SonyLIV,09-01-2025,26-05-2026,199,Quarterly,Expired
134,4704,Netflix,06-02-2025,16-03-2026,199,Yearly,Expired
135,5389,SonyLIV,16-05-2025,07-12-2025,299,Yearly,Active
136,4132,SonyLIV,09-06-2025,21-03-2026,299,Yearly,Active
137,2675,SonyLIV,16-08-2024,19-12-2025,149,Monthly,Expired
138,4977,SonyLIV,06-04-2024,02-12-2025,149,Quarterly,Active
139,5716,Amazon Prime,19-10-2025,10-05-2026,299,Monthly,Expired
140,4852,SonyLIV,21-02-2024,04-12-2025,199,Yearly,Expired
141,4351,Zee5,29-09-2025,17-02-2026,99,Yearly,Expired
142,1608,Amazon Prime,16-06-2025,21-05-2026,199,Monthly,Expired
143,2184,Disney+ Hotstar,15-10-2025,10-02-2026,499,Yearly,Active
144,2294,Zee5,20-06-2024,27-03-2026,499,Quarterly,Expired
145,4633,Netflix,19-02-2025,06-01-2026,499,Quarterly,Active
146,5262,SonyLIV,17-02-2025,08-01-2026,149,Monthly,Active
147,5896,SonyLIV,01-06-2024,24-12-2025,99,Quarterly,Active
148,3379,Amazon Prime,14-09-2025,04-02-2026,499,Yearly,Expired
149,4329,Disney+ Hotstar,02-02-2025,28-11-2025,199,Quarterly,Active
150,1266,SonyLIV,04-05-2025,08-03-2026,99,Yearly,Expired
151,1417,Amazon Prime,22-08-2025,11-05-2026,149,Monthly,Active
152,1546,Zee5,13-08-2024,07-02-2026,499,Yearly,Expired
153,5911,Amazon Prime,08-11-2024,25-03-2026,299,Yearly,Expired
154,4646,Zee5,02-09-2024,22-03-2026,199,Quarterly,Active
155,3771,Zee5,04-02-2024,14-03-2026,199,Quarterly,Active
156,3827,Netflix,18-06-2024,21-05-2026,149,Quarterly,Expired
157,1328,Amazon Prime,05-07-2025,05-03-2026,299,Monthly,Active
158,4008,SonyLIV,12-03-2025,03-01-2026,499,Quarterly,Active
159,3615,Amazon Prime,21-07-2024,15-01-2026,99,Monthly,Active
160,2072,Amazon Prime,29-07-2025,08-04-2026,499,Monthly,Active
161,837,Netflix,21-07-2024,10-12-2025,299,Yearly,Expired
162,1536,SonyLIV,20-02-2024,20-03-2026,499,Monthly,Expired
163,2192,Amazon Prime,21-08-2024,09-02-2026,499,Monthly,Active
164,5260,Netflix,13-05-2025,27-03-2026,149,Monthly,Active
165,3721,Zee5,06-06-2024,15-05-2026,499,Yearly,Active
166,2448,Zee5,21-07-2025,08-01-2026,299,Quarterly,Expired
167,4798,Zee5,21-11-2025,24-05-2026,499,Monthly,Active
168,890,Netflix,29-04-2024,16-03-2026,99,Yearly,Active
169,3446,Netflix,17-01-2024,16-03-2026,199,Monthly,Expired
170,2767,Amazon Prime,16-09-2024,01-01-2026,299,Yearly,Active
171,3697,SonyLIV,30-08-2024,01-04-2026,149,Yearly,Expired
172,3643,SonyLIV,19-04-2024,15-01-2026,199,Yearly,Expired
173,1847,Netflix,14-06-2025,21-03-2026,499,Yearly,Active
174,1668,Zee5,16-07-2024,29-04-2026,149,Yearly,Active
175,681,Netflix,26-06-2024,27-12-2025,299,Monthly,Active
176,2691,Disney+ Hotstar,29-03-2025,08-04-2026,299,Quarterly,Expired
177,1470,Zee5,13-08-2024,19-02-2026,199,Quarterly,Expired
178,4474,Disney+ Hotstar,27-05-2024,19-12-2025,299,Monthly,Expired
179,1058,Amazon Prime,27-07-2024,06-05-2026,149,Yearly,Expired
180,3775,Amazon Prime,26-11-2024,08-04-2026,299,Quarterly,Expired
181,4619,SonyLIV,07-01-2025,20-03-2026,99,Monthly,Expired
182,4598,Amazon Prime,23-10-2025,14-01-2026,199,Yearly,Expired
183,2830,Netflix,04-05-2025,08-12-2025,99,Yearly,Expired
184,4853,Disney+ Hotstar,23-06-2024,22-01-2026,299,Monthly,Expired
185,4251,SonyLIV,14-08-2024,21-03-2026,199,Monthly,Active
186,5116,Amazon Prime,14-03-2025,16-05-2026,499,Monthly,Expired
187,2629,SonyLIV,23-02-2025,23-12-2025,99,Yearly,Active
188,3898,Netflix,17-05-2025,01-05-2026,199,Yearly,Active
189,4061,Netflix,07-06-2024,17-01-2026,149,Monthly,Expired
190,5031,Amazon Prime,14-08-2025,17-02-2026,299,Yearly,Active
191,3382,Netflix,21-08-2025,08-01-2026,99,Monthly,Expired
192,3609,Amazon Prime,04-04-2024,11-12-2025,149,Quarterly,Active
193,28,Zee5,31-05-2024,20-02-2026,299,Quarterly,Expired
194,5256,SonyLIV,09-09-2025,10-02-2026,499,Quarterly,Expired
195,2212,Netflix,24-03-2024,04-01-2026,499,Quarterly,Expired
196,4230,SonyLIV,03-09-2025,17-04-2026,499,Quarterly,Expired
197,3346,Disney+ Hotstar,25-09-2025,25-01-2026,199,Monthly,Active
198,3770,Amazon Prime,20-11-2024,07-05-2026,299,Monthly,Active
199,166,Zee5,01-02-2025,21-02-2026,499,Monthly,Expired
200,2890,Netflix,09-02-2025,08-03-2026,99,Yearly,Active
201,1803,Netflix,18-09-2025,19-03-2026,99,Quarterly,Expired
202,3999,Amazon Prime,18-03-2024,19-01-2026,99,Quarterly,Expired
203,1192,Netflix,25-03-2025,21-03-2026,499,Monthly,Expired
204,3809,Netflix,10-04-2025,21-05-2026,199,Yearly,Expired
205,4026,Zee5,23-01-2025,13-01-2026,299,Yearly,Expired
206,1946,Disney+ Hotstar,27-05-2024,02-02-2026,99,Quarterly,Expired
207,1454,Disney+ Hotstar,15-08-2025,22-04-2026,149,Monthly,Active
208,1060,SonyLIV,18-07-2024,04-02-2026,149,Monthly,Expired
209,5447,Amazon Prime,06-09-2025,08-12-2025,499,Monthly,Active
210,1657,Zee5,25-07-2025,19-04-2026,499,Monthly,Active
211,4664,SonyLIV,27-11-2025,01-01-2026,299,Yearly,Expired
212,405,Disney+ Hotstar,26-07-2024,12-03-2026,299,Monthly,Active
213,5785,Disney+ Hotstar,12-10-2025,23-03-2026,299,Yearly,Active
214,3246,SonyLIV,11-03-2024,09-01-2026,199,Yearly,Active
215,5817,SonyLIV,27-04-2024,13-02-2026,299,Yearly,Expired
216,4708,Netflix,09-05-2024,05-02-2026,99,Quarterly,Active
217,407,Disney+ Hotstar,05-02-2025,16-04-2026,149,Monthly,Active
218,1446,Disney+ Hotstar,18-06-2025,17-05-2026,199,Monthly,Expired
219,4311,SonyLIV,30-04-2024,13-03-2026,149,Yearly,Expired
220,5553,Amazon Prime,05-03-2025,01-01-2026,299,Yearly,Active
221,915,Zee5,25-07-2025,05-02-2026,149,Yearly,Active
222,2896,Disney+ Hotstar,26-03-2024,25-03-2026,99,Quarterly,Active
223,3936,SonyLIV,08-08-2024,30-03-2026,499,Monthly,Active
224,4942,Zee5,31-10-2024,21-04-2026,499,Quarterly,Expired
225,1044,Disney+ Hotstar,21-04-2025,30-03-2026,299,Quarterly,Active
226,2805,Netflix,25-04-2024,22-12-2025,199,Monthly,Active
227,4452,Netflix,15-10-2025,11-12-2025,499,Monthly,Expired
228,5081,Amazon Prime,05-10-2024,25-05-2026,299,Yearly,Expired
229,549,SonyLIV,27-08-2024,05-04-2026,299,Quarterly,Expired
230,2083,Netflix,31-08-2024,22-02-2026,149,Monthly,Active
231,5584,Zee5,03-01-2024,27-04-2026,149,Monthly,Active
232,243,SonyLIV,18-07-2025,31-01-2026,499,Yearly,Active
233,3436,Netflix,16-07-2024,15-12-2025,99,Yearly,Active
234,1519,Amazon Prime,28-04-2024,01-12-2025,149,Monthly,Active
235,396,Disney+ Hotstar,17-04-2025,27-12-2025,99,Yearly,Expired
236,4909,SonyLIV,18-11-2024,03-12-2025,299,Quarterly,Expired
237,2629,Disney+ Hotstar,28-07-2025,11-12-2025,299,Yearly,Active
238,2473,SonyLIV,11-10-2025,02-04-2026,499,Monthly,Expired
239,1508,SonyLIV,12-07-2025,27-03-2026,99,Yearly,Active
240,3797,Amazon Prime,23-10-2024,14-02-2026,499,Quarterly,Active
241,2370,SonyLIV,16-04-2024,16-04-2026,199,Yearly,Active
242,3026,Amazon Prime,11-10-2024,30-01-2026,299,Monthly,Expired
243,1872,Disney+ Hotstar,01-04-2024,15-12-2025,149,Yearly,Active
244,361,SonyLIV,31-10-2025,23-02-2026,299,Quarterly,Expired
245,201,SonyLIV,08-10-2024,20-03-2026,199,Yearly,Expired
246,4414,Amazon Prime,19-03-2024,04-04-2026,499,Yearly,Active
247,161,Zee5,07-12-2024,28-04-2026,499,Monthly,Expired
248,5474,Disney+ Hotstar,23-10-2025,12-01-2026,499,Quarterly,Active
249,1681,Disney+ Hotstar,02-04-2025,01-01-2026,149,Yearly,Active
250,1424,Amazon Prime,13-02-2025,17-05-2026,149,Monthly,Active
251,3182,Disney+ Hotstar,05-01-2024,01-05-2026,499,Monthly,Active
252,5974,Amazon Prime,14-10-2025,23-01-2026,299,Quarterly,Active
253,2838,Zee5,08-01-2024,28-03-2026,149,Yearly,Active
254,1807,Netflix,11-12-2024,05-05-2026,149,Yearly,Expired
255,4952,Amazon Prime,21-08-2025,21-12-2025,199,Monthly,Active
256,4785,Netflix,14-12-2023,28-04-2026,199,Quarterly,Active
257,4670,SonyLIV,16-11-2024,16-04-2026,499,Monthly,Active
258,5454,Amazon Prime,19-03-2024,17-12-2025,99,Quarterly,Expired
259,837,SonyLIV,05-10-2025,18-01-2026,99,Yearly,Active
260,1159,Amazon Prime,02-06-2024,25-01-2026,299,Monthly,Active
261,5570,Amazon Prime,11-11-2024,07-02-2026,149,Monthly,Expired
262,1459,Amazon Prime,02-03-2025,03-05-2026,149,Yearly,Expired
263,1105,Netflix,25-12-2023,09-02-2026,499,Yearly,Expired
264,2747,Netflix,13-07-2024,08-05-2026,149,Yearly,Active
265,1304,Disney+ Hotstar,03-09-2025,09-03-2026,199,Quarterly,Active
266,3587,SonyLIV,03-04-2024,26-02-2026,99,Monthly,Active
267,852,Zee5,03-10-2025,13-01-2026,149,Yearly,Active
268,3527,Disney+ Hotstar,11-06-2025,25-02-2026,99,Yearly,Active
269,2194,Netflix,02-09-2025,02-05-2026,149,Monthly,Expired
270,5846,SonyLIV,29-11-2023,08-03-2026,99,Monthly,Expired
271,4392,SonyLIV,06-02-2024,15-05-2026,149,Quarterly,Active
272,3617,Amazon Prime,09-05-2024,04-02-2026,299,Quarterly,Expired
273,2144,SonyLIV,01-11-2024,14-12-2025,99,Quarterly,Expired
274,5200,Zee5,05-11-2024,01-12-2025,499,Monthly,Expired
275,2228,Amazon Prime,12-08-2025,02-05-2026,299,Yearly,Active
276,4074,Zee5,15-11-2025,21-04-2026,499,Monthly,Active
277,1071,Zee5,30-04-2024,08-05-2026,99,Quarterly,Active
278,2922,Zee5,29-05-2025,25-12-2025,149,Monthly,Active
279,231,Amazon Prime,28-08-2024,12-02-2026,99,Yearly,Expired
280,4276,SonyLIV,07-06-2024,03-03-2026,149,Yearly,Expired
281,1456,Amazon Prime,21-05-2024,05-01-2026,99,Quarterly,Active
282,680,Zee5,03-12-2023,01-12-2025,149,Yearly,Expired
283,1988,Netflix,08-01-2024,27-04-2026,199,Quarterly,Expired
284,5002,Disney+ Hotstar,19-06-2025,04-04-2026,199,Monthly,Active
285,2917,SonyLIV,09-10-2025,26-03-2026,149,Monthly,Active
286,5275,Zee5,30-12-2023,02-02-2026,149,Monthly,Expired
287,3074,Amazon Prime,02-03-2025,05-02-2026,99,Quarterly,Expired
288,1956,SonyLIV,06-03-2025,03-12-2025,299,Yearly,Expired
289,1325,Netflix,15-08-2024,16-02-2026,299,Quarterly,Expired
290,4755,Disney+ Hotstar,30-06-2025,05-04-2026,499,Monthly,Expired
291,4186,Zee5,12-06-2024,12-04-2026,299,Yearly,Active
292,3720,Amazon Prime,27-08-2024,09-03-2026,299,Quarterly,Active
293,527,Netflix,16-07-2025,07-04-2026,199,Monthly,Active
294,524,Netflix,31-07-2025,24-04-2026,99,Monthly,Active
295,3578,SonyLIV,07-08-2025,15-05-2026,199,Yearly,Active
296,5663,Netflix,03-06-2024,25-12-2025,199,Quarterly,Active
297,346,Amazon Prime,15-05-2024,05-12-2025,149,Quarterly,Active
298,2688,Disney+ Hotstar,13-06-2024,29-12-2025,99,Yearly,Active
299,2466,SonyLIV,06-05-2025,28-01-2026,99,Monthly,Expired
300,3499,SonyLIV,13-03-2025,23-02-2026,499,Yearly,Active
301,3581,Disney+ Hotstar,09-04-2025,01-04-2026,299,Yearly,Expired
302,1113,Zee5,02-03-2024,13-04-2026,499,Yearly,Expired
303,3295,Amazon Prime,23-10-2024,16-12-2025,499,Yearly,Expired
304,4417,SonyLIV,29-02-2024,22-05-2026,149,Yearly,Expired
305,4295,Netflix,07-05-2025,29-12-2025,99,Quarterly,Expired
306,2929,Amazon Prime,01-03-2024,24-02-2026,299,Quarterly,Active
307,4331,Netflix,13-02-2025,04-02-2026,499,Yearly,Active
308,5347,Disney+ Hotstar,12-07-2024,31-03-2026,199,Monthly,Expired
309,5267,Netflix,09-11-2025,06-03-2026,99,Monthly,Expired
310,4545,Netflix,28-04-2025,26-01-2026,199,Monthly,Active
311,2493,Netflix,16-06-2024,06-12-2025,199,Monthly,Active
312,4729,Zee5,05-10-2025,06-02-2026,499,Monthly,Active
313,3378,Netflix,12-12-2023,07-02-2026,199,Monthly,Expired
314,3311,Amazon Prime,21-02-2024,03-02-2026,149,Quarterly,Expired
315,5778,Zee5,02-01-2024,27-01-2026,299,Quarterly,Active
316,2452,Disney+ Hotstar,28-02-2024,03-12-2025,299,Yearly,Expired
317,1859,Amazon Prime,17-03-2025,16-03-2026,99,Monthly,Expired
318,3550,Netflix,24-02-2024,05-03-2026,99,Quarterly,Expired
319,720,Netflix,23-07-2024,12-04-2026,149,Monthly,Expired
320,4890,Netflix,09-06-2025,15-04-2026,499,Yearly,Active
321,2479,Zee5,13-09-2025,08-03-2026,199,Monthly,Expired
322,1866,Netflix,26-01-2025,25-05-2026,99,Yearly,Expired
323,4015,Zee5,13-11-2024,13-04-2026,299,Monthly,Active
324,2673,Amazon Prime,17-05-2025,09-04-2026,499,Quarterly,Active
325,2173,Zee5,01-05-2025,22-01-2026,99,Monthly,Expired
326,5185,Zee5,15-12-2023,03-12-2025,299,Quarterly,Active
327,1254,Netflix,20-06-2025,08-03-2026,99,Quarterly,Expired
328,2048,Zee5,25-04-2024,23-03-2026,499,Monthly,Expired
329,3881,Disney+ Hotstar,08-10-2024,12-01-2026,199,Monthly,Expired
330,1590,Amazon Prime,14-02-2024,08-12-2025,499,Yearly,Expired
331,1262,Netflix,14-03-2024,07-05-2026,149,Quarterly,Active
332,796,Netflix,27-06-2025,15-03-2026,99,Yearly,Active
333,5721,Disney+ Hotstar,08-04-2025,22-04-2026,299,Quarterly,Expired
334,651,Amazon Prime,08-02-2025,18-01-2026,499,Yearly,Expired
335,4457,SonyLIV,13-01-2025,05-05-2026,499,Yearly,Active
336,5119,Netflix,04-05-2025,30-12-2025,99,Yearly,Active
337,3660,Zee5,14-08-2024,23-05-2026,199,Quarterly,Expired
338,2924,SonyLIV,17-06-2025,28-02-2026,149,Monthly,Active
339,1403,Zee5,27-09-2024,29-04-2026,299,Quarterly,Expired
340,3163,Disney+ Hotstar,08-05-2024,31-12-2025,149,Quarterly,Active
341,417,Disney+ Hotstar,28-07-2025,04-04-2026,199,Quarterly,Active
342,2907,Disney+ Hotstar,24-06-2025,30-11-2025,99,Yearly,Expired
343,5854,SonyLIV,22-08-2024,10-03-2026,199,Yearly,Active
344,3654,Disney+ Hotstar,15-08-2025,13-01-2026,99,Yearly,Active
345,3289,Amazon Prime,20-03-2024,28-03-2026,499,Quarterly,Active
346,653,SonyLIV,24-07-2024,04-03-2026,299,Monthly,Expired
347,1362,Zee5,12-01-2024,20-04-2026,499,Yearly,Active
348,3373,Amazon Prime,11-06-2024,17-05-2026,99,Yearly,Active
349,3056,Disney+ Hotstar,03-12-2023,14-05-2026,99,Yearly,Expired
350,5351,SonyLIV,16-03-2024,10-02-2026,149,Yearly,Expired
351,3711,SonyLIV,24-03-2024,26-05-2026,499,Yearly,Active
352,5082,Zee5,26-05-2024,21-02-2026,199,Quarterly,Active
353,2654,SonyLIV,13-04-2024,19-01-2026,499,Yearly,Expired
354,1517,Amazon Prime,16-06-2024,27-03-2026,99,Yearly,Expired
355,5496,Netflix,24-02-2024,21-12-2025,199,Quarterly,Expired
356,4984,Disney+ Hotstar,23-09-2024,25-01-2026,199,Monthly,Expired
357,3334,Amazon Prime,09-09-2024,18-01-2026,149,Monthly,Active
358,2871,Amazon Prime,28-11-2024,29-11-2025,299,Yearly,Active
359,4321,SonyLIV,19-04-2025,17-12-2025,199,Quarterly,Active
360,416,Disney+ Hotstar,19-02-2024,27-01-2026,299,Monthly,Active
361,128,Amazon Prime,15-12-2024,14-03-2026,299,Quarterly,Expired
362,4742,Zee5,26-12-2023,23-03-2026,99,Monthly,Active
363,5526,Netflix,19-10-2025,29-01-2026,99,Quarterly,Expired
364,3044,SonyLIV,06-04-2025,23-04-2026,499,Quarterly,Expired
365,374,Disney+ Hotstar,17-06-2024,12-05-2026,299,Quarterly,Expired
366,5858,Amazon Prime,14-08-2024,08-04-2026,199,Yearly,Expired
367,5425,SonyLIV,14-03-2025,22-01-2026,199,Yearly,Active
368,1702,Disney+ Hotstar,14-02-2024,01-04-2026,99,Yearly,Active
369,1963,Zee5,10-12-2023,14-03-2026,299,Monthly,Active
370,4490,Amazon Prime,07-07-2024,15-02-2026,199,Yearly,Expired
371,5332,Disney+ Hotstar,31-03-2025,19-04-2026,499,Quarterly,Expired
372,1468,SonyLIV,01-06-2024,05-04-2026,299,Monthly,Expired
373,2488,SonyLIV,31-10-2024,10-04-2026,299,Yearly,Active
374,3266,Netflix,14-01-2025,27-03-2026,199,Yearly,Expired
375,993,Netflix,16-08-2024,13-01-2026,299,Yearly,Expired
376,3896,SonyLIV,26-12-2023,04-05-2026,99,Monthly,Active
377,3923,Netflix,19-11-2024,06-05-2026,299,Quarterly,Active
378,1784,SonyLIV,11-02-2025,15-12-2025,199,Quarterly,Active
379,930,Zee5,28-03-2025,24-02-2026,99,Yearly,Expired
