usage_id,customer_id,usage_date,data_used_gb,call_minutes,sms_count,roaming,network_type
140,5827,19-10-2025,1.68,99,22,TRUE,4G
141,4685,05-05-2025,0.11,26,27,TRUE,5G
142,3491,16-06-2025,2.91,32,20,FALSE,5G
143,2796,17-05-2025,2.05,64,35,TRUE,4G
144,1557,22-05-2025,0.7,39,25,FALSE,5G
145,1473,20-06-2025,0.74,112,44,FALSE,5G
146,500,12-01-2025,0.92,49,49,TRUE,4G
147,3655,27-10-2025,0.44,96,9,FALSE,4G
148,1220,14-08-2025,1.92,65,2,FALSE,5G
149,3539,28-03-2025,1.7,54,10,TRUE,4G
150,5332,25-05-2025,1.95,100,38,TRUE,4G
151,2130,26-09-2025,2.17,21,32,FALSE,4G
152,1601,05-12-2024,2.33,92,13,TRUE,4G
153,694,09-06-2025,1.23,99,49,FALSE,5G
154,5552,18-10-2025,1.24,48,3,FALSE,4G
155,1920,01-05-2025,2.98,113,30,TRUE,4G
156,497,04-12-2024,2,81,25,FALSE,5G
157,2262,11-01-2025,1.78,71,45,TRUE,5G
158,5859,18-08-2025,1.67,64,2,FALSE,4G
159,675,28-06-2025,2.3,4,19,TRUE,4G
160,413,01-10-2025,0.53,43,22,TRUE,5G
161,1445,08-05-2025,2.33,9,1,TRUE,4G
162,756,28-12-2024,0.81,71,10,FALSE,4G
163,2959,09-10-2025,0.77,46,0,TRUE,4G
164,3242,28-12-2024,1.8,39,22,FALSE,5G
165,4897,21-02-2025,0.76,42,39,FALSE,4G
166,1854,25-04-2025,0.4,74,1,TRUE,4G
167,3083,19-05-2025,1.9,17,15,FALSE,5G
168,751,25-05-2025,1.96,107,49,TRUE,4G
169,1105,03-03-2025,2.6,77,37,TRUE,4G
170,3373,26-10-2025,0.3,72,25,FALSE,4G
171,5265,29-01-2025,2.19,99,39,FALSE,4G
172,3972,24-07-2025,2.8,50,29,TRUE,4G
173,350,20-10-2025,2.32,100,6,FALSE,5G
174,5596,01-03-2025,1.89,53,13,FALSE,4G
175,5522,06-05-2025,1.75,91,25,TRUE,5G
176,3975,28-01-2025,2.04,36,6,TRUE,5G
177,4050,07-12-2024,0.18,57,25,TRUE,5G
178,5538,23-10-2025,2.48,89,24,TRUE,4G
179,3462,05-10-2025,2.6,66,18,TRUE,5G
180,5662,26-11-2025,2.48,72,45,TRUE,5G
181,5550,19-06-2025,2.05,50,27,FALSE,4G
182,955,19-05-2025,2.12,18,32,FALSE,4G
183,4292,22-10-2025,1.4,56,38,TRUE,4G
184,3679,16-10-2025,2.75,18,0,FALSE,5G
185,882,11-07-2025,0.69,11,27,TRUE,4G
186,2261,13-04-2025,1.84,28,5,TRUE,5G
187,30,04-12-2024,0.62,68,12,TRUE,5G
188,2670,30-06-2025,0.43,85,15,FALSE,4G
189,3494,09-03-2025,2.14,8,0,TRUE,5G
190,531,28-02-2025,2.18,74,25,FALSE,4G
191,264,16-08-2025,0.6,119,11,FALSE,5G
192,2649,25-02-2025,2.58,86,6,FALSE,4G
193,5629,23-05-2025,2.04,77,28,FALSE,4G
194,3918,03-10-2025,0.56,1,27,FALSE,5G
195,2147,25-05-2025,1.92,9,25,FALSE,5G
196,1768,27-03-2025,1.38,19,30,FALSE,4G
197,781,06-01-2025,1.15,86,37,FALSE,4G
198,4314,11-08-2025,2.46,115,17,TRUE,5G
199,3856,15-12-2024,0.88,19,24,FALSE,4G
200,21,08-11-2025,1.43,54,44,FALSE,5G
201,5115,03-08-2025,0.45,2,18,FALSE,4G
202,2203,06-06-2025,1.51,55,29,TRUE,4G
203,1999,21-03-2025,2.01,44,6,FALSE,4G
204,1294,15-11-2025,1.31,73,10,FALSE,4G
205,2022,21-06-2025,2.93,6,46,FALSE,5G
206,3394,12-05-2025,1.31,70,48,TRUE,4G
207,307,18-12-2024,2.68,7,31,FALSE,5G
208,3756,16-02-2025,0.24,9,39,FALSE,5G
209,5845,28-03-2025,0.59,66,10,FALSE,5G
210,1097,28-03-2025,1.27,65,39,FALSE,4G
211,5521,14-08-2025,1.97,109,6,TRUE,4G
212,3436,16-02-2025,2.24,48,13,TRUE,5G
213,1222,01-06-2025,2.45,65,6,TRUE,4G
214,981,08-05-2025,1.19,78,10,FALSE,5G
215,4928,22-12-2024,2.63,44,37,TRUE,5G
216,1256,27-11-2025,1.43,35,49,TRUE,5G
217,5471,16-12-2024,1.12,48,13,TRUE,4G
218,4395,16-08-2025,0.32,35,21,TRUE,5G
219,1002,19-01-2025,0.22,49,31,FALSE,4G
220,2895,23-04-2025,1.19,80,34,TRUE,4G
221,2641,09-12-2024,2.31,6,39,FALSE,5G
222,4041,03-11-2025,2.7,56,38,FALSE,5G
223,4182,04-03-2025,2.1,50,27,FALSE,4G
224,3113,21-05-2025,0.22,78,44,FALSE,5G
225,4315,30-10-2025,2.47,107,15,TRUE,5G
226,3588,01-03-2025,0.46,48,10,TRUE,4G
227,1919,22-10-2025,0.69,119,37,TRUE,5G
228,4752,20-08-2025,2.71,111,14,FALSE,4G
229,4345,25-05-2025,1.82,45,38,TRUE,5G
230,5620,25-10-2025,2.74,101,45,TRUE,4G
231,1800,01-09-2025,2.08,104,38,TRUE,4G
232,5635,10-05-2025,0.97,3,9,FALSE,5G
233,5149,15-12-2024,1.47,12,39,FALSE,5G
234,112,30-07-2025,2.05,50,17,TRUE,5G
235,5479,25-04-2025,1.89,41,12,TRUE,5G
236,2269,12-08-2025,0.56,64,16,TRUE,4G
237,5937,27-06-2025,1.11,65,5,FALSE,5G
238,3092,29-01-2025,2.88,2,44,TRUE,5G
239,3409,09-01-2025,1.36,96,47,FALSE,4G
240,3064,12-05-2025,0.72,84,41,TRUE,4G
241,5509,28-01-2025,0.45,15,23,FALSE,5G
242,969,04-03-2025,2.12,40,31,TRUE,5G
243,1347,17-02-2025,0.71,96,43,FALSE,5G
244,2737,17-04-2025,2.57,111,33,TRUE,4G
245,773,28-09-2025,0.2,103,6,FALSE,4G
246,2089,30-11-2024,1.77,50,0,TRUE,5G
247,3722,19-10-2025,1.44,81,24,FALSE,4G
248,2290,09-11-2025,1.47,107,9,FALSE,5G
249,3756,22-04-2025,0.37,15,18,FALSE,4G
250,1166,25-04-2025,1.09,41,39,TRUE,5G
251,3638,30-09-2025,0.45,24,23,TRUE,5G
252,2655,08-01-2025,1.86,70,37,FALSE,5G
253,5406,26-10-2025,1.1,64,15,TRUE,5G
254,2426,05-04-2025,1.57,28,45,TRUE,4G
255,4860,30-09-2025,1.18,18,48,TRUE,4G
256,1429,22-04-2025,0.29,69,45,FALSE,4G
257,3034,22-05-2025,0.67,38,22,FALSE,5G
258,5926,20-10-2025,1.57,66,7,FALSE,5G
259,3105,18-09-2025,2.01,77,24,TRUE,4G
260,2404,19-02-2025,1.19,62,28,TRUE,4G
261,5347,15-11-2025,0.11,100,18,FALSE,4G
262,343,14-08-2025,1.09,91,23,TRUE,4G
263,3735,15-12-2024,0.43,4,12,FALSE,4G
264,1805,29-12-2024,1.64,107,39,TRUE,5G
265,5618,06-01-2025,2.68,86,20,TRUE,4G
266,1544,17-09-2025,1.47,74,32,TRUE,5G
267,1984,25-03-2025,0.39,35,38,FALSE,4G
268,4259,02-12-2024,1.43,20,48,FALSE,5G
269,2537,30-04-2025,0.94,33,20,TRUE,4G
270,2833,25-01-2025,2.35,27,28,FALSE,5G
271,2765,19-12-2024,0.84,2,7,TRUE,4G
272,2762,20-10-2025,1.21,119,40,FALSE,5G
273,4824,29-06-2025,2.84,102,2,TRUE,4G
274,5537,08-11-2025,1.41,47,7,TRUE,5G
275,4233,07-04-2025,1.6,11,21,TRUE,4G
276,5675,23-10-2025,1.59,63,34,FALSE,4G
277,5945,08-06-2025,1.43,48,37,TRUE,5G
278,5740,25-02-2025,0.47,85,46,FALSE,4G
279,5870,22-01-2025,2.46,58,36,FALSE,4G
280,1684,16-02-2025,0.94,9,27,TRUE,5G
281,5760,19-06-2025,2.67,90,40,FALSE,4G
282,5543,01-03-2025,0.52,94,37,TRUE,4G
283,4404,21-08-2025,2.85,49,33,FALSE,5G
284,4684,17-11-2025,1.34,118,49,TRUE,5G
285,4070,09-06-2025,2.05,36,8,TRUE,4G
286,2587,29-01-2025,1.86,71,10,FALSE,5G
287,4972,28-04-2025,0.12,77,19,FALSE,5G
288,3916,02-01-2025,0.85,29,29,FALSE,4G
289,661,17-07-2025,1.58,38,43,FALSE,5G
290,5837,14-12-2024,2.36,21,15,TRUE,4G
291,1342,10-04-2025,1.43,64,33,FALSE,5G
292,5280,21-04-2025,2.6,58,33,FALSE,5G
293,882,27-04-2025,0.22,110,3,TRUE,4G
294,3838,25-02-2025,1.58,20,18,FALSE,4G
295,4969,26-08-2025,0.7,20,12,TRUE,5G
296,5854,09-05-2025,0.75,26,15,TRUE,4G
297,2099,27-02-2025,1.06,17,39,TRUE,5G
298,248,14-09-2025,1.72,92,38,TRUE,5G
299,1094,23-10-2025,1.25,17,6,FALSE,4G
300,1931,11-01-2025,0.68,47,49,TRUE,5G
301,3849,19-07-2025,1.59,15,11,TRUE,5G
302,5999,13-10-2025,0.39,38,16,TRUE,5G
303,2554,11-09-2025,0.26,42,44,TRUE,4G
304,4070,05-02-2025,3,70,48,TRUE,4G
305,5016,12-06-2025,1.33,40,0,FALSE,4G
306,2175,07-08-2025,1.53,30,27,TRUE,5G
307,4311,16-04-2025,0.29,13,15,TRUE,5G
308,3995,30-09-2025,0.94,68,34,FALSE,5G
309,2906,20-02-2025,2.03,78,27,TRUE,5G
310,2859,15-02-2025,2.2,21,2,FALSE,5G
311,3414,30-03-2025,2.12,71,38,TRUE,4G
312,2786,01-10-2025,2.11,72,18,FALSE,5G
313,3642,29-05-2025,0.36,87,18,FALSE,4G
314,3534,13-07-2025,1.73,19,38,FALSE,4G
315,2616,19-09-2025,2.56,0,5,TRUE,4G
316,1177,24-07-2025,1.04,109,40,FALSE,4G
317,2649,20-09-2025,2.97,104,19,TRUE,5G
318,1217,08-04-2025,2.52,67,12,FALSE,4G
319,3885,13-06-2025,2.24,102,38,FALSE,4G
320,1310,28-11-2024,1.06,45,24,TRUE,4G
321,4933,26-08-2025,1.05,15,0,FALSE,4G
322,837,14-01-2025,1.99,68,43,FALSE,4G
323,192,14-07-2025,1.32,40,45,FALSE,4G
324,2433,08-04-2025,2.29,6,34,TRUE,4G
325,5082,20-04-2025,0.74,94,28,FALSE,5G
326,4381,27-09-2025,0.26,86,7,FALSE,5G
327,3267,12-09-2025,2.23,112,17,FALSE,5G
328,3839,05-02-2025,2.16,37,0,TRUE,5G
329,3012,30-09-2025,2.14,21,8,TRUE,5G
330,5870,26-10-2025,0.28,73,44,FALSE,4G
331,1646,27-09-2025,3,88,46,FALSE,4G
332,985,13-07-2025,1.87,115,36,TRUE,5G
333,4417,16-01-2025,2.26,32,34,FALSE,4G
334,790,01-07-2025,1.97,58,28,TRUE,5G
335,4820,19-05-2025,0.81,115,29,TRUE,4G
336,3542,20-12-2024,0.7,58,32,TRUE,5G
337,2362,17-06-2025,2.64,98,19,FALSE,5G
338,1203,19-02-2025,1.71,94,7,TRUE,4G
339,1968,01-09-2025,1.84,35,32,FALSE,4G
340,1789,18-09-2025,1.48,83,35,TRUE,4G
341,5362,12-05-2025,1.61,62,21,FALSE,4G
342,425,04-04-2025,2.37,30,16,FALSE,4G
343,741,21-09-2025,2.52,41,25,FALSE,4G
344,3426,12-06-2025,1.79,116,34,FALSE,4G
345,1967,02-03-2025,1.86,77,38,FALSE,4G
346,5953,11-05-2025,0.27,106,32,TRUE,5G
347,2850,29-08-2025,1.04,32,14,TRUE,4G
348,2503,03-12-2024,1.43,56,14,FALSE,5G
349,2741,07-06-2025,1.48,63,17,TRUE,5G
350,2615,12-07-2025,2.35,35,44,FALSE,4G
351,4947,28-05-2025,2.72,22,14,TRUE,5G
352,1233,01-09-2025,0.32,116,10,TRUE,5G
353,1357,15-05-2025,0.28,48,39,FALSE,4G
354,1591,27-11-2024,2.33,48,31,TRUE,4G
355,1969,04-07-2025,0.61,114,13,TRUE,5G
356,53,08-04-2025,0.88,105,18,FALSE,4G
357,1554,23-10-2025,1.75,109,2,TRUE,5G
358,2645,31-08-2025,2.94,41,9,TRUE,5G
359,4289,10-10-2025,0.53,100,1,FALSE,5G
360,512,10-12-2024,2.68,82,19,FALSE,4G
361,2063,21-08-2025,2.06,62,15,TRUE,5G
362,1236,16-06-2025,1.04,18,18,TRUE,4G
363,4091,15-07-2025,1.73,21,41,TRUE,4G
364,671,07-08-2025,0.32,5,16,FALSE,4G
365,5653,21-08-2025,1.73,112,29,FALSE,5G
366,2801,26-11-2025,0.28,100,16,FALSE,5G
367,1012,23-11-2025,1.86,101,30,FALSE,5G
368,2098,01-04-2025,0.82,69,13,TRUE,4G
369,420,22-01-2025,1.05,89,13,FALSE,5G
370,2413,07-03-2025,1.92,99,49,FALSE,5G
371,1892,24-11-2025,0.19,48,31,FALSE,5G
372,2399,02-09-2025,0.31,115,28,TRUE,5G
373,2731,18-10-2025,0.25,78,25,TRUE,5G
374,2876,03-10-2025,2.26,27,12,TRUE,4G
375,3611,14-10-2025,1.36,107,21,FALSE,5G
376,4689,17-12-2024,2.46,8,39,FALSE,4G
377,2777,10-04-2025,0.9,109,38,TRUE,5G
378,3219,15-09-2025,2.23,19,27,FALSE,5G
379,4660,16-11-2025,2.48,62,19,TRUE,4G
380,3420,21-07-2025,1.56,91,20,FALSE,5G
381,1981,04-06-2025,2.87,80,1,TRUE,5G
382,373,10-10-2025,1.62,115,13,FALSE,4G
383,5675,01-10-2025,2.89,84,26,FALSE,5G
384,5587,11-07-2025,2.78,73,44,TRUE,4G
385,5748,31-07-2025,2.46,63,47,FALSE,4G
386,5259,24-05-2025,1.8,46,15,TRUE,4G
387,5646,08-05-2025,0.1,23,21,FALSE,5G
388,196,04-05-2025,1.85,59,21,FALSE,4G
389,4120,06-05-2025,1.82,99,37,FALSE,4G
390,65,02-04-2025,2.06,61,34,FALSE,5G
391,1400,19-03-2025,1.32,27,0,TRUE,5G
392,696,14-06-2025,0.76,111,41,FALSE,5G
393,1999,28-07-2025,1.34,56,21,TRUE,4G
394,3083,30-03-2025,1.84,0,3,FALSE,5G
395,5859,30-12-2024,0.27,14,41,FALSE,4G
396,844,24-01-2025,0.66,109,15,TRUE,5G
397,3294,15-02-2025,1.14,106,23,FALSE,4G
398,446,15-01-2025,0.21,101,49,FALSE,4G
399,3309,22-04-2025,2.72,79,31,FALSE,5G
400,4019,26-01-2025,2.14,18,21,FALSE,5G
401,2595,21-05-2025,2.29,115,46,FALSE,4G
402,542,08-03-2025,2.16,73,30,TRUE,5G
403,1756,16-03-2025,0.91,17,34,TRUE,4G
404,3758,05-06-2025,0.47,39,43,FALSE,4G
405,3749,20-03-2025,2.18,62,17,TRUE,4G
406,3795,01-11-2025,2.76,76,49,FALSE,5G
407,3450,14-06-2025,0.73,50,25,TRUE,4G
408,2608,21-07-2025,1.76,71,44,TRUE,4G
409,3830,22-10-2025,2.88,2,13,FALSE,4G
410,2954,03-07-2025,2.09,39,45,TRUE,5G
411,3707,05-08-2025,1.02,24,6,FALSE,4G
412,4816,20-03-2025,2.09,69,1,TRUE,5G
413,3031,01-10-2025,0.9,108,8,FALSE,4G
414,947,08-08-2025,2.95,74,48,TRUE,5G
415,554,10-04-2025,1.69,71,23,TRUE,5G
416,575,19-07-2025,1.43,65,26,FALSE,5G
417,5520,24-12-2024,1.57,34,38,FALSE,5G
418,3202,24-05-2025,1.7,39,41,FALSE,4G
419,1857,14-07-2025,2.27,26,13,TRUE,4G
420,1508,10-01-2025,0.61,24,26,TRUE,4G
421,90,23-06-2025,1.06,44,12,FALSE,4G
422,3588,20-12-2024,0.38,94,46,TRUE,4G
423,2101,17-05-2025,2.27,21,11,FALSE,5G
424,5731,18-08-2025,0.49,117,9,FALSE,4G
425,5385,11-04-2025,2.8,29,44,FALSE,4G
426,2087,03-05-2025,0.43,107,39,FALSE,4G
427,2829,15-02-2025,2.43,72,46,FALSE,4G
428,1472,03-09-2025,1.11,50,20,TRUE,4G
429,5630,15-06-2025,1.94,15,12,FALSE,5G
430,435,21-11-2025,0.4,101,33,TRUE,5G
431,3974,03-03-2025,1.26,97,14,TRUE,5G
432,930,12-04-2025,2.14,5,27,FALSE,5G
433,4777,12-02-2025,0.25,12,47,TRUE,5G
434,1428,20-11-2025,1.4,93,35,FALSE,4G
435,2615,30-04-2025,2.94,21,22,FALSE,4G
436,1988,10-07-2025,1.33,3,31,TRUE,4G
437,754,02-07-2025,2.91,91,44,TRUE,5G
438,2202,29-08-2025,1.67,25,18,FALSE,5G
439,3870,01-09-2025,1.91,12,30,TRUE,4G
440,1707,13-03-2025,1.78,1,30,FALSE,5G
441,2473,16-04-2025,1.08,21,48,FALSE,4G
442,2155,20-09-2025,1.99,89,47,FALSE,4G
443,865,09-11-2025,2.96,70,15,TRUE,4G
444,5098,21-10-2025,2.09,88,46,TRUE,4G
445,315,26-10-2025,0.36,85,37,TRUE,5G
446,1194,27-10-2025,2.04,37,16,TRUE,5G
447,2080,23-08-2025,0.56,60,14,FALSE,4G
448,1645,02-06-2025,2.12,101,43,TRUE,4G
449,2037,22-11-2025,2.47,30,30,FALSE,5G
450,1062,20-08-2025,0.63,54,1,FALSE,5G
451,5485,10-10-2025,2.07,52,44,FALSE,5G
452,86,19-01-2025,1.83,112,5,FALSE,5G
453,1299,17-05-2025,0.31,14,11,TRUE,5G
454,459,13-10-2025,2.46,45,36,FALSE,5G
455,48,29-03-2025,0.66,98,3,TRUE,4G
456,5507,13-04-2025,0.19,77,45,FALSE,5G
457,2399,20-10-2025,2.32,75,0,TRUE,4G
458,2481,26-04-2025,1.33,21,4,FALSE,5G
459,5312,09-08-2025,0.94,60,37,TRUE,4G
460,584,10-04-2025,0.41,39,20,TRUE,4G
461,5470,24-05-2025,1.6,40,38,TRUE,5G
462,1771,27-11-2025,0.3,28,12,TRUE,5G
463,1212,21-07-2025,0.84,42,17,FALSE,4G
464,1492,09-06-2025,0.27,73,16,TRUE,4G
465,4034,21-12-2024,2.17,24,11,TRUE,4G
466,3164,24-08-2025,2.48,54,14,FALSE,4G
467,910,05-12-2024,0.56,104,28,TRUE,5G
468,1072,08-07-2025,2.22,18,7,TRUE,5G
469,5350,05-05-2025,1.28,33,0,TRUE,4G
470,4207,02-07-2025,0.83,6,1,TRUE,4G
471,1866,18-11-2025,2,77,39,FALSE,5G
472,4858,26-01-2025,0.13,35,27,TRUE,5G
473,5954,24-02-2025,2.5,111,37,FALSE,4G
474,1137,09-04-2025,0.94,103,35,FALSE,4G
475,4974,01-09-2025,2.29,32,18,FALSE,5G
476,825,07-07-2025,1.25,64,48,TRUE,5G
477,5621,08-08-2025,0.13,63,46,FALSE,4G
478,4034,11-11-2025,1.58,119,18,FALSE,4G
479,5614,29-12-2024,0.31,68,8,FALSE,4G
480,1557,15-06-2025,1.65,12,47,FALSE,4G
481,3304,29-04-2025,1.62,56,12,FALSE,4G
482,4548,25-07-2025,1.77,106,24,TRUE,4G
483,3400,30-10-2025,1.7,75,0,TRUE,5G
484,3008,23-02-2025,0.85,11,41,FALSE,4G
485,4678,30-11-2024,1.87,117,13,TRUE,4G
486,1068,13-09-2025,0.63,11,6,TRUE,4G
487,1759,03-09-2025,2.93,45,29,FALSE,4G
488,3299,19-04-2025,1.24,86,30,FALSE,5G
489,2314,03-11-2025,0.4,13,7,TRUE,4G
490,4083,27-03-2025,1.58,16,0,FALSE,4G
491,2041,13-11-2025,1.09,18,44,TRUE,4G
492,3255,14-02-2025,2.83,81,48,FALSE,4G
493,1857,29-07-2025,1.95,88,34,TRUE,4G
494,2889,25-06-2025,2.01,96,7,TRUE,4G
495,3754,22-11-2025,2.63,43,9,FALSE,5G
496,834,14-03-2025,0.26,81,19,TRUE,5G
497,5947,14-03-2025,2.92,0,34,FALSE,5G
498,1374,15-08-2025,2.05,101,29,TRUE,5G
499,4946,08-12-2024,2.24,39,25,TRUE,5G
500,4468,26-02-2025,2.62,50,18,FALSE,4G
