complaint_id,customer_id,complaint_date,category,description,status,priority,agent
44,1268,06-09-2025,Network Issue,Sample complaint description,Open,High,Scott
45,2390,14-03-2025,Network Issue,Sample complaint description,Closed,Medium,Danielle
46,4572,30-09-2025,Network Issue,Sample complaint description,In Progress,Low,Paul
47,4142,11-04-2025,Network Issue,Sample complaint description,Closed,Medium,Gary
48,5133,22-09-2025,Billing Issue,Sample complaint description,In Progress,Medium,Jennifer
49,4402,26-05-2025,Other,Sample complaint description,In Progress,Medium,Jessica
50,371,23-01-2025,Other,Sample complaint description,In Progress,Medium,Margaret
51,2085,27-08-2025,SIM Issue,Sample complaint description,Open,Low,Dylan
52,2974,04-09-2025,Network Issue,Sample complaint description,Open,Low,Frederick
53,758,17-12-2023,Other,Sample complaint description,Closed,High,Matthew
54,2208,19-02-2024,Other,Sample complaint description,In Progress,Low,Jonathan
55,5573,04-12-2023,SIM Issue,Sample complaint description,Closed,Low,Ariana
56,1529,06-02-2025,SIM Issue,Sample complaint description,Closed,Low,Kenneth
57,2495,16-07-2024,Billing Issue,Sample complaint description,Closed,Medium,Eric
58,3275,05-05-2025,Other,Sample complaint description,Open,Medium,Natasha
59,4639,21-02-2025,Network Issue,Sample complaint description,Closed,Medium,Jeffrey
60,4874,21-04-2024,Other,Sample complaint description,Closed,High,Aaron
61,5613,06-09-2024,Other,Sample complaint description,Closed,Low,Elizabeth
62,5956,26-04-2025,Billing Issue,Sample complaint description,Closed,Low,Daniel
63,5590,23-05-2025,SIM Issue,Sample complaint description,In Progress,Medium,Catherine
64,3433,05-06-2025,SIM Issue,Sample complaint description,Closed,Low,Nathan
65,3256,17-10-2025,SIM Issue,Sample complaint description,Open,Low,Dana
66,3377,07-04-2025,SIM Issue,Sample complaint description,In Progress,Low,Jeffrey
67,4600,20-04-2024,Billing Issue,Sample complaint description,Open,Medium,Keith
68,4997,19-09-2025,Billing Issue,Sample complaint description,In Progress,Medium,Andrew
69,4638,01-04-2025,Other,Sample complaint description,In Progress,High,Billy
70,5942,11-03-2025,Network Issue,Sample complaint description,Open,Medium,James
71,5496,16-03-2024,Other,Sample complaint description,Open,High,Anthony
72,303,04-11-2025,Billing Issue,Sample complaint description,Open,High,Jacob
73,732,06-07-2025,Billing Issue,Sample complaint description,In Progress,Low,Jeff
74,5388,11-12-2023,SIM Issue,Sample complaint description,Open,Low,Summer
75,1494,26-01-2024,Network Issue,Sample complaint description,Open,High,Joanne
76,2803,30-08-2024,Billing Issue,Sample complaint description,Open,Medium,Gwendolyn
77,399,04-11-2024,SIM Issue,Sample complaint description,In Progress,Low,Anthony
78,4865,16-01-2025,Other,Sample complaint description,Open,Low,Jason
79,763,06-12-2023,Network Issue,Sample complaint description,Open,High,Nicholas
80,5815,16-02-2025,SIM Issue,Sample complaint description,Open,Medium,Sean
81,4276,26-06-2025,Billing Issue,Sample complaint description,Open,Medium,Rodney
82,3956,05-06-2024,Billing Issue,Sample complaint description,In Progress,High,Teresa
83,4816,03-02-2024,SIM Issue,Sample complaint description,In Progress,High,Misty
84,1579,14-03-2024,Billing Issue,Sample complaint description,Open,Low,Alfred
85,1778,21-02-2024,Other,Sample complaint description,Open,High,Robert
86,5090,24-11-2024,Network Issue,Sample complaint description,Closed,High,Robert
87,5969,02-11-2024,Billing Issue,Sample complaint description,In Progress,Low,Austin
88,2269,23-07-2024,SIM Issue,Sample complaint description,In Progress,Low,Brent
89,853,13-05-2025,Billing Issue,Sample complaint description,Open,Low,Brian
90,1457,14-07-2025,SIM Issue,Sample complaint description,Open,High,Laura
91,3364,30-04-2025,SIM Issue,Sample complaint description,In Progress,Medium,Steven
92,3203,25-06-2024,Network Issue,Sample complaint description,In Progress,Medium,Brandon
93,2782,27-01-2024,Network Issue,Sample complaint description,Closed,Low,Tara
94,5964,26-07-2025,Network Issue,Sample complaint description,In Progress,Low,Sara
95,3070,04-06-2025,Network Issue,Sample complaint description,Closed,Medium,John
96,1747,20-05-2025,Other,Sample complaint description,Open,Medium,James
97,3549,01-10-2025,Other,Sample complaint description,In Progress,High,Christopher
98,3078,22-05-2025,Network Issue,Sample complaint description,Open,Medium,Nicole
99,1616,07-08-2025,Network Issue,Sample complaint description,Closed,High,John
100,3607,25-06-2024,Other,Sample complaint description,Closed,Medium,Taylor
101,1138,13-11-2025,SIM Issue,Sample complaint description,Closed,High,Savannah
102,2255,14-09-2024,Other,Sample complaint description,In Progress,Low,Darrell
103,3844,31-12-2024,Billing Issue,Sample complaint description,Open,Medium,Wesley
104,1834,25-03-2024,Network Issue,Sample complaint description,In Progress,High,Nancy
105,5763,19-06-2025,Other,Sample complaint description,In Progress,High,Laura
106,336,27-01-2024,Network Issue,Sample complaint description,Open,High,Gary
107,2077,24-03-2024,SIM Issue,Sample complaint description,Closed,Medium,Charles
108,5423,18-01-2024,SIM Issue,Sample complaint description,Closed,Low,Tammie
109,810,09-01-2025,Other,Sample complaint description,In Progress,Medium,Heather
110,5069,12-10-2025,SIM Issue,Sample complaint description,Open,High,Caitlyn
111,905,23-10-2025,Network Issue,Sample complaint description,In Progress,Medium,Melinda
112,3767,10-01-2025,Network Issue,Sample complaint description,Closed,High,Eric
113,4343,04-11-2025,Network Issue,Sample complaint description,Closed,Low,Bruce
114,4592,04-09-2025,SIM Issue,Sample complaint description,Closed,Medium,Jessica
115,1809,08-02-2025,Network Issue,Sample complaint description,Closed,High,Alicia
116,4888,09-08-2025,Other,Sample complaint description,Open,Low,Charles
117,4660,23-07-2024,Network Issue,Sample complaint description,In Progress,Medium,Aaron
118,2013,10-09-2025,Billing Issue,Sample complaint description,In Progress,Medium,Jessica
119,4242,16-04-2024,Billing Issue,Sample complaint description,In Progress,Medium,Michelle
120,686,03-10-2024,Billing Issue,Sample complaint description,Closed,Low,Rhonda
121,3120,14-10-2025,SIM Issue,Sample complaint description,In Progress,Low,Christopher
122,2360,31-03-2025,SIM Issue,Sample complaint description,Open,Low,Laura
123,86,13-06-2024,Network Issue,Sample complaint description,Open,Medium,Mary
124,5332,17-09-2024,Billing Issue,Sample complaint description,Open,High,Kenneth
125,836,15-05-2025,Other,Sample complaint description,Open,High,Robert
126,211,03-12-2023,Network Issue,Sample complaint description,Open,High,Tiffany
127,5362,16-09-2025,Other,Sample complaint description,Closed,Low,Robert
128,4610,23-07-2025,Billing Issue,Sample complaint description,In Progress,High,Andrew
129,4281,17-01-2025,Billing Issue,Sample complaint description,Closed,Medium,Dennis
130,2881,12-03-2024,Network Issue,Sample complaint description,In Progress,Medium,Troy
131,1339,04-12-2024,Network Issue,Sample complaint description,Open,Low,David
132,1541,06-05-2024,Billing Issue,Sample complaint description,Open,High,Tyler
133,4182,16-05-2024,SIM Issue,Sample complaint description,Closed,Medium,Julie
134,5522,16-10-2024,SIM Issue,Sample complaint description,In Progress,High,Jay
135,2609,23-07-2025,SIM Issue,Sample complaint description,In Progress,Medium,Barbara
136,2128,12-08-2024,Other,Sample complaint description,Open,Medium,Lorraine
137,3489,23-03-2024,SIM Issue,Sample complaint description,Closed,Low,Janice
138,847,20-03-2025,Billing Issue,Sample complaint description,Closed,High,Kim
139,1664,16-03-2025,Other,Sample complaint description,In Progress,Medium,Jennifer
140,4656,09-11-2024,Network Issue,Sample complaint description,In Progress,High,Craig
141,4953,08-04-2025,Other,Sample complaint description,Closed,High,Mary
142,509,05-06-2024,Billing Issue,Sample complaint description,Open,Medium,Patrick
143,5085,13-03-2024,Other,Sample complaint description,Open,Low,Sean
144,4209,24-02-2025,Billing Issue,Sample complaint description,Open,Low,Jose
145,2094,28-03-2024,Network Issue,Sample complaint description,In Progress,Low,Douglas
146,2335,24-11-2025,Billing Issue,Sample complaint description,Open,Low,Matthew
147,833,16-04-2024,Network Issue,Sample complaint description,Open,Low,Kathleen
148,3354,03-02-2024,Other,Sample complaint description,Closed,Low,Sara
149,4466,04-08-2025,SIM Issue,Sample complaint description,In Progress,High,Stefanie
150,1967,30-01-2025,Network Issue,Sample complaint description,In Progress,High,Samuel
151,2403,13-02-2025,Other,Sample complaint description,Closed,Low,Ryan
152,2947,09-11-2025,SIM Issue,Sample complaint description,Closed,High,Robert
153,5920,03-12-2024,Network Issue,Sample complaint description,Closed,Medium,Paul
154,4904,27-08-2024,Billing Issue,Sample complaint description,Closed,Medium,Michelle
155,617,22-11-2024,Billing Issue,Sample complaint description,In Progress,Medium,Jill
156,3460,24-07-2024,Other,Sample complaint description,Closed,Low,Kelsey
157,3579,24-10-2025,Other,Sample complaint description,Open,Low,Ryan
158,3670,06-03-2025,SIM Issue,Sample complaint description,Closed,Medium,Samuel
159,85,05-11-2025,Billing Issue,Sample complaint description,Closed,Medium,Katherine
160,2317,14-01-2025,Billing Issue,Sample complaint description,In Progress,High,Lauren
161,5884,19-07-2025,Network Issue,Sample complaint description,Closed,Low,Elizabeth
162,3144,28-06-2024,Billing Issue,Sample complaint description,In Progress,Medium,Charles
163,885,26-06-2024,Billing Issue,Sample complaint description,In Progress,Low,Kevin
164,5921,03-11-2024,Billing Issue,Sample complaint description,Closed,High,Andrea
165,3647,07-05-2024,Network Issue,Sample complaint description,Open,Medium,Kenneth
166,1301,12-01-2024,Other,Sample complaint description,Open,Medium,Reginald
167,3474,05-08-2025,Billing Issue,Sample complaint description,Open,Medium,Taylor
168,3382,19-11-2024,Billing Issue,Sample complaint description,Closed,High,Nathaniel
169,3207,29-02-2024,Other,Sample complaint description,In Progress,Low,Dakota
170,2940,09-05-2025,Billing Issue,Sample complaint description,Open,Medium,Carrie
171,2441,22-10-2025,Network Issue,Sample complaint description,Open,High,Edward
172,5349,07-03-2025,Network Issue,Sample complaint description,Closed,Low,Jessica
173,3425,28-06-2025,Billing Issue,Sample complaint description,In Progress,Medium,Lori
174,4744,10-11-2025,Other,Sample complaint description,Open,Low,Shane
175,4979,07-12-2023,SIM Issue,Sample complaint description,Closed,Medium,Michael
176,3606,24-06-2024,Billing Issue,Sample complaint description,Open,High,Patrick
177,2219,16-05-2025,Billing Issue,Sample complaint description,In Progress,Low,Tara
178,5012,04-07-2025,Billing Issue,Sample complaint description,Closed,Medium,Robert
179,5895,29-10-2024,Network Issue,Sample complaint description,Open,Low,Rebecca
180,2853,01-04-2025,SIM Issue,Sample complaint description,Closed,High,Cody
181,4362,14-09-2024,Billing Issue,Sample complaint description,Closed,Low,Kathleen
182,233,17-05-2024,Network Issue,Sample complaint description,Open,Low,Christian
183,5285,01-04-2024,Network Issue,Sample complaint description,Open,High,Spencer
184,1159,03-08-2024,Network Issue,Sample complaint description,Open,Medium,Heather
185,2362,09-07-2024,SIM Issue,Sample complaint description,Open,Low,Lisa
186,3070,24-10-2025,SIM Issue,Sample complaint description,Closed,High,Jamie
187,3752,25-06-2024,Other,Sample complaint description,Open,High,Daniel
188,4925,22-06-2025,Other,Sample complaint description,In Progress,High,Kevin
189,2874,13-05-2025,Billing Issue,Sample complaint description,Closed,High,Joseph
190,2573,14-06-2024,Other,Sample complaint description,Open,High,Jason
191,4295,11-03-2024,Network Issue,Sample complaint description,Closed,Low,Sara
192,5045,24-10-2025,SIM Issue,Sample complaint description,Open,Low,Joann
193,842,20-02-2024,Billing Issue,Sample complaint description,In Progress,High,Michael
194,3278,28-04-2024,Other,Sample complaint description,In Progress,Medium,Hannah
195,1511,30-04-2024,Other,Sample complaint description,Closed,Low,Brenda
196,3325,31-10-2024,SIM Issue,Sample complaint description,In Progress,Low,Casey
197,2777,18-12-2024,SIM Issue,Sample complaint description,Open,Low,Jodi
198,2181,16-01-2024,Network Issue,Sample complaint description,In Progress,High,Wendy
199,4837,15-08-2024,Other,Sample complaint description,Open,Low,Christy
200,2179,28-10-2025,SIM Issue,Sample complaint description,Open,Medium,Deanna
201,5893,30-11-2023,Billing Issue,Sample complaint description,Closed,Medium,Jeanne
202,5227,06-09-2024,SIM Issue,Sample complaint description,Open,Medium,Jared
203,3273,29-11-2023,SIM Issue,Sample complaint description,Open,Medium,Sandra
204,4612,26-06-2024,Other,Sample complaint description,Open,High,Laura
205,3269,08-02-2025,Network Issue,Sample complaint description,In Progress,High,Leslie
206,113,24-10-2024,Network Issue,Sample complaint description,Closed,Low,Frank
207,3219,22-08-2025,Billing Issue,Sample complaint description,In Progress,High,Cynthia
208,368,16-11-2024,Other,Sample complaint description,In Progress,Medium,Jeffrey
209,1000,09-10-2025,Billing Issue,Sample complaint description,In Progress,High,Kelly
210,1086,10-12-2023,Billing Issue,Sample complaint description,Open,High,Deanna
211,896,10-05-2024,Other,Sample complaint description,Closed,Low,John
212,4472,11-09-2025,Other,Sample complaint description,Closed,High,Jennifer
213,2378,22-02-2024,SIM Issue,Sample complaint description,Closed,Low,John
214,5095,15-12-2024,Billing Issue,Sample complaint description,Closed,High,Philip
215,872,17-10-2024,Billing Issue,Sample complaint description,Closed,Low,James
216,2212,23-05-2024,Billing Issue,Sample complaint description,Open,Medium,Caitlin
217,1290,05-04-2024,Other,Sample complaint description,Closed,High,Julia
218,896,22-05-2025,Other,Sample complaint description,Closed,Low,Ruth
219,5774,01-07-2024,Billing Issue,Sample complaint description,In Progress,Low,Michael
220,1886,26-02-2025,Network Issue,Sample complaint description,In Progress,Medium,Carlos
221,5469,07-02-2025,Network Issue,Sample complaint description,Open,Medium,Melanie
222,3971,13-08-2024,Network Issue,Sample complaint description,Open,High,Bonnie
223,98,23-02-2024,SIM Issue,Sample complaint description,In Progress,High,Janice
224,2500,22-03-2025,Other,Sample complaint description,Open,Low,George
225,3382,10-05-2025,Billing Issue,Sample complaint description,Open,Low,Jacob
226,5577,28-10-2025,Billing Issue,Sample complaint description,Open,Medium,Arthur
227,5370,18-09-2025,Network Issue,Sample complaint description,Open,High,Michael
228,1817,28-09-2024,SIM Issue,Sample complaint description,In Progress,High,James
229,990,16-05-2024,SIM Issue,Sample complaint description,Closed,Low,Jennifer
230,4078,22-06-2024,SIM Issue,Sample complaint description,Closed,High,Christopher
231,484,15-04-2025,Billing Issue,Sample complaint description,Closed,High,Anita
232,4569,02-03-2024,Network Issue,Sample complaint description,Closed,Medium,Theresa
233,312,12-01-2024,Network Issue,Sample complaint description,In Progress,High,Christopher
234,387,08-01-2024,Other,Sample complaint description,In Progress,Medium,Sarah
235,5010,09-09-2024,Billing Issue,Sample complaint description,Closed,High,Laura
236,2322,14-10-2025,SIM Issue,Sample complaint description,Open,Medium,Shawn
237,543,10-04-2025,Network Issue,Sample complaint description,In Progress,Low,Stacey
238,3000,07-09-2024,Other,Sample complaint description,In Progress,High,Dave
239,5808,20-02-2024,Network Issue,Sample complaint description,Open,Medium,Donna
240,2212,03-12-2023,Other,Sample complaint description,In Progress,High,Kenneth
241,3180,13-01-2024,SIM Issue,Sample complaint description,Open,High,Tammy
242,1434,02-03-2024,Other,Sample complaint description,Open,Low,James
243,537,17-12-2023,SIM Issue,Sample complaint description,In Progress,High,Catherine
244,585,21-04-2024,Billing Issue,Sample complaint description,In Progress,Low,Teresa
245,63,14-09-2024,SIM Issue,Sample complaint description,In Progress,Low,Samantha
246,2029,14-09-2024,Other,Sample complaint description,Open,High,John
247,3922,01-05-2025,Billing Issue,Sample complaint description,In Progress,Low,Jeremy
248,3313,11-05-2025,Other,Sample complaint description,Closed,Medium,Crystal
249,260,31-05-2024,Other,Sample complaint description,In Progress,Low,Alyssa
250,2664,25-12-2023,Billing Issue,Sample complaint description,Closed,High,Michael
251,2246,09-04-2025,Billing Issue,Sample complaint description,Closed,Low,Cheyenne
252,3180,30-11-2024,Billing Issue,Sample complaint description,Open,Medium,Julia
253,243,08-02-2025,Billing Issue,Sample complaint description,In Progress,Medium,Adam
254,2444,01-02-2024,Network Issue,Sample complaint description,Open,Low,Ashley
255,5911,06-04-2024,Network Issue,Sample complaint description,Open,High,Samuel
256,5286,02-01-2025,Other,Sample complaint description,Closed,Low,Lisa
257,5697,28-09-2025,SIM Issue,Sample complaint description,Closed,Low,Kevin
258,4485,28-10-2025,Network Issue,Sample complaint description,In Progress,Low,Ronald
259,2749,07-05-2025,Billing Issue,Sample complaint description,Open,Medium,Samantha
260,5142,08-04-2024,Other,Sample complaint description,Closed,Low,Leslie
261,5350,02-05-2024,SIM Issue,Sample complaint description,Open,High,Jason
262,4020,03-08-2024,Billing Issue,Sample complaint description,In Progress,Low,Samantha
263,5058,08-07-2024,Other,Sample complaint description,In Progress,High,Pam
264,5820,14-06-2025,Network Issue,Sample complaint description,Open,High,Travis
265,292,20-08-2025,Network Issue,Sample complaint description,In Progress,Medium,Sergio
266,3222,11-04-2024,SIM Issue,Sample complaint description,Closed,Medium,Dale
267,273,21-10-2025,Network Issue,Sample complaint description,Open,High,Christopher
268,4849,05-09-2024,SIM Issue,Sample complaint description,Open,Low,Joyce
269,39,09-07-2025,Network Issue,Sample complaint description,In Progress,High,John
270,639,29-01-2024,SIM Issue,Sample complaint description,Closed,Low,Douglas
271,1583,08-04-2024,SIM Issue,Sample complaint description,Open,Low,Jared
272,161,05-10-2024,Billing Issue,Sample complaint description,Open,Low,Thomas
273,4717,19-08-2024,SIM Issue,Sample complaint description,Open,High,Jay
274,3556,16-08-2024,Network Issue,Sample complaint description,In Progress,Low,Katherine
275,965,25-01-2024,SIM Issue,Sample complaint description,Open,High,Karen
276,5198,20-05-2025,SIM Issue,Sample complaint description,Closed,Low,Robert
277,259,31-03-2025,Other,Sample complaint description,Open,Medium,Jennifer
278,476,04-05-2024,Other,Sample complaint description,In Progress,Medium,Lori
279,566,13-01-2025,Network Issue,Sample complaint description,Closed,Medium,Desiree
280,1779,28-12-2023,Network Issue,Sample complaint description,Closed,High,John
281,5003,06-07-2025,Billing Issue,Sample complaint description,In Progress,High,Cody
282,4415,13-01-2025,Billing Issue,Sample complaint description,Open,Low,Darius
283,3440,29-04-2025,Network Issue,Sample complaint description,Closed,High,Tanya
284,3451,27-04-2024,Billing Issue,Sample complaint description,Closed,Low,David
285,1617,25-02-2025,Network Issue,Sample complaint description,Closed,Medium,Bryce
286,4725,30-01-2025,SIM Issue,Sample complaint description,Closed,High,Jessica
287,1137,02-08-2024,Billing Issue,Sample complaint description,Closed,Low,Anthony
288,936,20-07-2024,SIM Issue,Sample complaint description,Open,Low,Zachary
289,2350,14-08-2025,Other,Sample complaint description,Open,Medium,Reginald
290,1044,27-06-2025,Billing Issue,Sample complaint description,Closed,High,Elizabeth
291,617,08-05-2025,SIM Issue,Sample complaint description,In Progress,High,Daryl
292,3805,21-07-2024,SIM Issue,Sample complaint description,Open,Medium,Amy
293,1513,09-04-2025,SIM Issue,Sample complaint description,In Progress,Medium,Bradley
294,1715,20-03-2025,Billing Issue,Sample complaint description,Closed,Low,Matthew
295,5890,14-03-2025,Other,Sample complaint description,Closed,Medium,Dana
296,5420,07-07-2024,Network Issue,Sample complaint description,Open,High,Michael
297,3436,17-07-2025,Other,Sample complaint description,Open,Low,Courtney
298,3739,06-07-2025,Network Issue,Sample complaint description,In Progress,Medium,Pamela
299,1099,15-09-2024,Billing Issue,Sample complaint description,Open,High,Sara
300,1082,06-03-2025,SIM Issue,Sample complaint description,Closed,High,Ariel
301,5640,16-07-2025,Billing Issue,Sample complaint description,In Progress,High,Rachel
302,1999,24-11-2024,Other,Sample complaint description,Closed,Low,Brendan
303,523,17-10-2025,SIM Issue,Sample complaint description,In Progress,High,Justin
304,4544,07-12-2023,Network Issue,Sample complaint description,Open,Low,Michael
305,619,04-08-2024,Other,Sample complaint description,Closed,High,Christopher
306,1717,31-07-2025,Other,Sample complaint description,Closed,Medium,Nicholas
307,300,20-08-2024,Billing Issue,Sample complaint description,Open,Medium,Andrew
308,1252,13-03-2025,Other,Sample complaint description,Open,Low,Gregory
309,3946,06-08-2024,Other,Sample complaint description,In Progress,Low,Aaron
310,227,26-10-2025,Billing Issue,Sample complaint description,In Progress,High,Mark
311,5567,31-12-2023,SIM Issue,Sample complaint description,Closed,Low,Michael
312,4405,16-10-2025,Network Issue,Sample complaint description,Open,Low,Alex
313,2141,27-05-2025,Network Issue,Sample complaint description,Closed,Low,Susan
314,961,15-11-2025,SIM Issue,Sample complaint description,Closed,Medium,Barbara
315,96,14-05-2024,Billing Issue,Sample complaint description,Closed,Medium,Eric
316,585,20-12-2024,Billing Issue,Sample complaint description,Open,Low,Kimberly
317,1349,04-02-2025,Network Issue,Sample complaint description,Open,Medium,Amanda
318,202,12-10-2025,Billing Issue,Sample complaint description,Closed,Medium,Melody
319,3609,16-04-2025,SIM Issue,Sample complaint description,Closed,Medium,Zachary
320,1803,11-04-2025,Other,Sample complaint description,In Progress,Medium,William
321,5628,11-08-2024,Other,Sample complaint description,Open,Medium,Timothy
322,4030,18-05-2025,Other,Sample complaint description,Open,High,Ariana
323,3677,20-02-2024,SIM Issue,Sample complaint description,In Progress,Medium,Wesley
324,3147,22-03-2024,SIM Issue,Sample complaint description,In Progress,Medium,Leslie
325,3239,24-12-2024,Other,Sample complaint description,Closed,Medium,Alicia
326,416,27-02-2025,SIM Issue,Sample complaint description,Open,High,Kathy
327,2599,01-07-2025,Billing Issue,Sample complaint description,In Progress,Medium,Jennifer
328,3801,04-07-2024,Billing Issue,Sample complaint description,In Progress,High,Lance
329,5366,23-02-2025,Network Issue,Sample complaint description,Open,Medium,Bobby
330,505,06-07-2024,Billing Issue,Sample complaint description,Open,Low,Connor
331,2010,15-02-2025,SIM Issue,Sample complaint description,Open,Low,Valerie
332,4290,26-11-2024,Network Issue,Sample complaint description,Open,Medium,Amanda
333,1650,22-02-2024,Billing Issue,Sample complaint description,In Progress,Medium,Christopher
334,3150,10-01-2025,Network Issue,Sample complaint description,Closed,High,Aaron
335,1290,23-02-2025,Other,Sample complaint description,Closed,Medium,Austin
336,5491,23-05-2025,Network Issue,Sample complaint description,In Progress,Low,James
337,1835,23-10-2024,Network Issue,Sample complaint description,Open,Medium,Kara
338,2997,21-11-2025,Billing Issue,Sample complaint description,In Progress,Low,Karen
339,2772,26-05-2024,SIM Issue,Sample complaint description,Open,Medium,Jon
340,2406,09-09-2025,Billing Issue,Sample complaint description,Open,High,Devin
341,3469,01-02-2024,SIM Issue,Sample complaint description,Open,Medium,Jacob
342,5532,04-12-2023,Other,Sample complaint description,Open,Medium,Sheryl
343,146,25-11-2025,Other,Sample complaint description,Closed,High,Riley
344,1680,25-10-2024,Network Issue,Sample complaint description,In Progress,High,Joshua
345,2162,08-01-2024,Network Issue,Sample complaint description,In Progress,Medium,Timothy
346,3903,28-08-2025,Billing Issue,Sample complaint description,In Progress,Low,James
347,853,26-07-2024,Network Issue,Sample complaint description,In Progress,High,Christopher
348,2286,12-10-2024,SIM Issue,Sample complaint description,Closed,Medium,Scott
349,1360,14-05-2025,SIM Issue,Sample complaint description,In Progress,Low,Daniel
350,3845,08-05-2024,Other,Sample complaint description,In Progress,Low,Jennifer
351,3991,21-03-2024,Other,Sample complaint description,Open,Low,Stephanie
352,3854,11-11-2024,Other,Sample complaint description,Closed,Low,Taylor
353,5890,05-05-2025,SIM Issue,Sample complaint description,In Progress,High,Leah
354,1159,25-03-2025,Network Issue,Sample complaint description,Open,Medium,Nancy
355,4421,22-07-2025,SIM Issue,Sample complaint description,Open,Medium,Abigail
356,3217,06-01-2024,Network Issue,Sample complaint description,In Progress,Medium,Timothy
357,3137,09-07-2024,Other,Sample complaint description,Closed,Low,Carlos
358,2217,13-02-2024,Billing Issue,Sample complaint description,Open,Medium,Rachel
359,4446,29-03-2025,Network Issue,Sample complaint description,In Progress,Low,Stacy
360,97,02-12-2024,Billing Issue,Sample complaint description,Closed,Medium,Rodney
361,618,22-04-2025,Network Issue,Sample complaint description,Open,Medium,Douglas
362,4711,03-07-2025,SIM Issue,Sample complaint description,Closed,Low,Jonathan
363,1833,14-11-2025,SIM Issue,Sample complaint description,Open,Low,Joseph
364,5007,18-02-2025,Billing Issue,Sample complaint description,Closed,High,Stuart
365,4253,01-03-2024,SIM Issue,Sample complaint description,Closed,Medium,Lori
366,2768,10-03-2024,SIM Issue,Sample complaint description,Closed,Medium,Jill
367,3288,15-10-2024,Other,Sample complaint description,In Progress,High,Kristen
368,5960,18-10-2024,Other,Sample complaint description,In Progress,Medium,Matthew
369,1768,12-03-2024,SIM Issue,Sample complaint description,Open,Medium,Stephen
370,3418,03-11-2025,SIM Issue,Sample complaint description,Open,Medium,Jeffrey
371,3500,09-01-2025,Other,Sample complaint description,In Progress,Medium,David
372,79,29-07-2025,SIM Issue,Sample complaint description,Open,High,Erika
373,4976,04-05-2025,Billing Issue,Sample complaint description,In Progress,High,Jessica
374,3512,28-07-2024,Billing Issue,Sample complaint description,Closed,High,George
