call_id,customer_id,call_date,duration_minutes,call_type,location_city,location_state,network_quality
55,3191,29-10-2025 03:04,10.72,Incoming,West Alexander,Wyoming,Poor
56,162,05-04-2025 19:30,18.32,Outgoing,Houstonstad,Arkansas,Poor
57,1728,13-03-2025 21:53,15.26,Outgoing,South Christopherfurt,Hawaii,Average
58,2488,29-12-2024 22:09,5.66,Incoming,Johnsonmouth,Minnesota,Average
59,4957,08-11-2025 14:48,9.1,Incoming,North Timothyside,New York,Average
60,296,04-06-2025 14:24,4.59,Incoming,Carrieberg,South Dakota,Poor
61,2782,13-11-2025 20:42,10.91,Incoming,West Jason,Massachusetts,Average
62,3387,04-09-2025 09:02,5.14,Incoming,Susanfurt,Pennsylvania,Poor
63,2190,20-02-2025 10:42,12.18,Outgoing,North Kevin,New Jersey,Average
64,3164,04-02-2025 23:48,18.66,Outgoing,Christinahaven,Illinois,Poor
65,4222,11-08-2025 21:10,11.34,Outgoing,New Ryantown,Alabama,Poor
66,2451,17-10-2025 01:43,1.28,Outgoing,West Brett,South Carolina,Average
67,2925,18-11-2025 11:45,17.85,Incoming,New James,Kansas,Good
68,3957,01-10-2025 10:54,12.23,Outgoing,New Andrew,Rhode Island,Average
69,3191,09-01-2025 00:25,19.64,Incoming,Jimmyfort,Mississippi,Poor
70,1751,05-06-2025 21:22,19.16,Incoming,West Nichole,Tennessee,Poor
71,4795,02-07-2025 03:34,3.62,Incoming,Elizabethfurt,Connecticut,Good
72,2429,27-08-2025 20:01,5.83,Incoming,Vincentberg,Delaware,Poor
73,4703,15-10-2025 02:58,4.5,Outgoing,Lake Jenniferchester,Missouri,Poor
74,1472,08-03-2025 05:39,2.2,Outgoing,Amandaside,New Jersey,Good
75,4866,07-04-2025 23:48,5.64,Incoming,Cynthiachester,Michigan,Average
76,5104,03-10-2025 03:12,18.57,Outgoing,East Kimberlyfort,Hawaii,Good
77,249,10-01-2025 12:26,12.79,Incoming,East Donaldberg,Delaware,Poor
78,3215,22-10-2025 16:57,3.78,Incoming,Lake Amandaberg,Delaware,Average
79,5939,29-08-2025 07:54,17.37,Outgoing,Chambersside,California,Average
80,1716,12-09-2025 05:26,14.43,Incoming,Barnesmouth,Louisiana,Poor
81,5804,12-03-2025 17:05,13.52,Incoming,New Nicholasburgh,Minnesota,Good
82,1008,05-09-2025 11:37,19.42,Outgoing,Hernandezfort,Vermont,Good
83,5766,25-03-2025 07:28,7.71,Outgoing,Port Lawrence,New Mexico,Good
84,1377,03-11-2025 22:48,5.5,Outgoing,East Brian,Mississippi,Poor
85,1370,09-06-2025 07:30,3.6,Incoming,Rhondatown,Michigan,Poor
86,1171,21-02-2025 16:01,17.13,Outgoing,Stevenfurt,California,Good
87,894,22-07-2025 09:09,18.49,Outgoing,New Kayla,Idaho,Good
88,4382,06-06-2025 11:44,4.42,Outgoing,Barnesburgh,Hawaii,Poor
89,2147,09-05-2025 10:29,14.67,Incoming,Port Ericchester,Washington,Poor
90,4845,08-11-2025 16:42,8.78,Outgoing,Port Ericburgh,Louisiana,Average
91,4226,02-06-2025 01:17,9.02,Outgoing,North Davidshire,Vermont,Good
92,2807,02-07-2025 06:06,14.37,Outgoing,New Leslietown,Minnesota,Poor
93,2446,15-08-2025 23:01,5.25,Outgoing,Lake Melodymouth,Mississippi,Poor
94,5790,28-08-2025 02:22,4.31,Incoming,Kellychester,Utah,Average
95,5549,23-03-2025 03:32,3.78,Outgoing,New Haleytown,Pennsylvania,Good
96,4813,16-06-2025 12:23,6.48,Incoming,Port Brianburgh,Iowa,Good
97,1171,17-03-2025 02:44,9.73,Incoming,Erinstad,Alaska,Poor
98,5075,08-09-2025 21:48,2.16,Outgoing,Justinburgh,Texas,Average
99,4683,30-11-2024 18:58,19.64,Incoming,Williamshire,Colorado,Poor
100,1400,01-03-2025 17:37,16.09,Outgoing,Williambury,Minnesota,Average
101,2865,27-11-2025 06:31,14.51,Incoming,North Carlosburgh,Alabama,Average
102,1765,12-11-2025 14:38,17.62,Outgoing,Lake Natalieland,Utah,Good
103,1714,15-05-2025 08:01,19.92,Incoming,Markmouth,Iowa,Average
104,1969,13-08-2025 13:12,13.49,Incoming,Weberfort,Kentucky,Poor
105,2017,20-10-2025 07:44,0.64,Incoming,Melissashire,Minnesota,Good
106,5656,29-01-2025 11:08,15.48,Outgoing,Port Jennifer,Texas,Average
107,877,05-02-2025 23:19,5.34,Outgoing,Kelseyview,Vermont,Poor
108,874,22-04-2025 12:49,4.85,Outgoing,Parkershire,Massachusetts,Poor
109,4396,13-03-2025 16:35,4.93,Incoming,Port Matthewmouth,West Virginia,Average
110,4269,13-03-2025 12:24,11.36,Outgoing,Robertbury,Hawaii,Good
111,3765,10-10-2025 23:36,17.91,Incoming,North Trevormouth,Montana,Good
112,1420,12-09-2025 03:10,1.62,Outgoing,Jamesstad,Florida,Good
113,2550,14-05-2025 20:38,9.3,Incoming,South Jonathantown,Michigan,Good
114,1373,25-10-2025 13:01,17.62,Outgoing,Davidport,Nevada,Average
115,56,23-02-2025 19:34,6.01,Incoming,Waynetown,South Carolina,Good
116,3880,15-04-2025 23:09,4.63,Outgoing,Annaville,Maryland,Good
117,2645,20-03-2025 15:06,5.42,Incoming,New Melissa,Nevada,Average
118,2841,28-07-2025 23:12,1.83,Incoming,Port Misty,Washington,Poor
119,4729,15-11-2025 01:15,19.8,Incoming,East Laura,Arkansas,Average
120,4955,12-07-2025 07:02,8.2,Outgoing,Collinsville,Washington,Poor
121,414,06-06-2025 02:16,18.96,Incoming,Irwinbury,Vermont,Poor
122,5349,21-11-2025 17:55,4.91,Incoming,North Justin,Montana,Average
123,5663,02-07-2025 00:29,15.51,Incoming,East Michelle,Colorado,Good
124,2082,21-01-2025 05:28,7.56,Outgoing,West Karen,South Carolina,Poor
125,4407,14-10-2025 00:22,0.48,Incoming,Port Cameron,Virginia,Average
126,4297,01-06-2025 11:37,17.07,Incoming,Lake Johnchester,Michigan,Average
127,2092,29-11-2024 10:40,17.4,Incoming,New Brian,Idaho,Good
128,4153,16-03-2025 08:42,18.77,Incoming,West Brenda,Alaska,Poor
129,4199,02-08-2025 04:40,1.86,Outgoing,North Thomas,Delaware,Average
130,3762,10-08-2025 16:20,9.75,Incoming,Carriebury,Kentucky,Good
131,4453,26-04-2025 19:28,15.12,Outgoing,Reidtown,Delaware,Average
132,5856,16-10-2025 23:49,4.4,Incoming,Lake Mariaside,Montana,Average
133,5855,11-03-2025 09:10,6.77,Outgoing,Stoutview,Vermont,Good
134,5053,01-09-2025 23:07,16.73,Outgoing,New Melissamouth,Vermont,Good
135,2866,04-08-2025 19:16,6.84,Incoming,Marktown,Montana,Good
136,4231,10-05-2025 17:43,14.08,Incoming,Vargasside,New Jersey,Good
137,4427,17-06-2025 13:50,3.75,Outgoing,South Samanthahaven,Delaware,Poor
138,2498,18-01-2025 00:40,4.51,Incoming,Lake Danielland,New Mexico,Good
139,34,21-10-2025 09:22,12.83,Incoming,New Ericaville,Arizona,Poor
140,5635,03-01-2025 03:30,12.93,Outgoing,Brendaland,Ohio,Average
141,5365,12-02-2025 02:17,5.82,Outgoing,Jameston,Florida,Poor
142,963,06-07-2025 15:09,16.19,Incoming,Carlsonside,Hawaii,Poor
143,200,01-05-2025 14:08,15.67,Incoming,Davisview,Idaho,Good
144,4744,28-03-2025 04:27,14.7,Incoming,Hillmouth,North Carolina,Good
145,5572,01-09-2025 23:26,14.89,Incoming,Susanchester,Maryland,Poor
146,2170,09-03-2025 00:48,4.06,Incoming,New James,Michigan,Average
147,3392,20-03-2025 19:59,8.35,Incoming,West Gabriellefort,Illinois,Poor
148,1555,31-05-2025 15:28,7.31,Outgoing,Port Molly,Nebraska,Poor
149,5722,08-04-2025 19:10,10.76,Incoming,Richardview,Michigan,Poor
150,5927,29-11-2024 20:18,9.66,Incoming,Port Jodiville,Mississippi,Average
151,3460,21-10-2025 02:09,15.1,Incoming,Kylefurt,Alabama,Poor
152,5198,29-07-2025 06:27,9.53,Outgoing,New Ianville,Delaware,Good
153,3859,21-06-2025 09:08,17.22,Incoming,Ericmouth,Idaho,Good
154,4729,01-03-2025 14:01,8.35,Outgoing,Adammouth,Michigan,Average
155,3830,12-05-2025 11:24,4.65,Incoming,Port Andrew,Wisconsin,Good
156,1901,06-05-2025 12:51,7.21,Outgoing,Mackfurt,Iowa,Good
157,2820,07-10-2025 11:09,4.86,Outgoing,Mcknighttown,Idaho,Good
158,2967,10-02-2025 05:22,11.05,Incoming,Dawnborough,Arkansas,Poor
159,5510,28-06-2025 05:39,4.87,Outgoing,South Richard,Maine,Good
160,1179,15-09-2025 03:30,6.92,Outgoing,Montgomeryton,Iowa,Poor
161,4275,11-10-2025 19:36,13.42,Incoming,South Katie,Nebraska,Good
162,5440,21-02-2025 05:55,11.37,Outgoing,Jessicafort,Vermont,Average
163,3937,29-04-2025 07:58,13.08,Outgoing,West John,Massachusetts,Average
164,1741,05-01-2025 15:49,2.05,Outgoing,North Charles,Missouri,Good
165,2542,19-04-2025 21:26,4.87,Incoming,Gordonville,Massachusetts,Poor
166,1955,25-04-2025 17:05,11.76,Outgoing,Jenniferview,Arkansas,Good
167,5004,11-02-2025 02:34,9.04,Incoming,Carlosburgh,New York,Poor
168,1307,06-07-2025 13:55,3.29,Incoming,Blairland,Delaware,Good
169,1282,20-12-2024 00:09,0.94,Incoming,South Timchester,New Hampshire,Good
170,3941,10-12-2024 01:43,7.98,Incoming,Jamesmouth,Pennsylvania,Poor
171,3490,13-01-2025 18:25,4.39,Incoming,Smithstad,Iowa,Poor
172,1191,23-09-2025 18:55,19.79,Outgoing,East Angelica,Colorado,Average
173,2878,05-10-2025 09:21,1.1,Outgoing,Jasonstad,North Carolina,Good
174,1470,12-06-2025 16:15,1.75,Outgoing,Dayton,Nevada,Poor
175,506,26-01-2025 20:54,17.43,Outgoing,Hornville,Massachusetts,Average
176,5147,15-06-2025 08:19,14.63,Outgoing,Brianmouth,Iowa,Poor
177,517,04-05-2025 16:10,19.76,Incoming,South Jacobton,Indiana,Poor
178,3146,07-10-2025 15:25,19.02,Incoming,Reginaldbury,Michigan,Good
179,4845,04-02-2025 19:36,17.21,Outgoing,East Brooke,Minnesota,Poor
180,4043,20-09-2025 22:05,7.48,Outgoing,Lake Francisco,Minnesota,Poor
181,2392,06-04-2025 08:22,6.74,Outgoing,Ramosfurt,Massachusetts,Good
182,320,12-02-2025 01:56,1.55,Incoming,Lake Jocelynborough,Nebraska,Average
183,2542,08-10-2025 18:36,18.65,Outgoing,Michaelport,Utah,Good
184,1435,08-10-2025 06:07,0.53,Outgoing,Jefferytown,Texas,Good
185,1033,06-11-2025 02:35,15.24,Outgoing,North Danielle,South Carolina,Average
186,5169,12-08-2025 07:31,3.08,Outgoing,Williammouth,Arizona,Average
187,487,16-12-2024 01:27,3.99,Outgoing,Lake Rebecca,Vermont,Good
188,301,04-06-2025 15:32,6.47,Outgoing,Port Tracyberg,Oregon,Poor
189,551,10-07-2025 13:42,13.57,Incoming,Port Jasminebury,Wisconsin,Good
190,4380,10-08-2025 00:10,9.89,Incoming,Aliciabury,Louisiana,Good
191,205,26-11-2025 10:59,0.29,Incoming,Millerside,New York,Poor
192,5429,17-12-2024 09:29,16.26,Incoming,North Donnafurt,Idaho,Poor
193,187,11-03-2025 11:24,11.75,Outgoing,New Joseph,North Dakota,Good
194,4341,29-10-2025 23:45,8.16,Outgoing,Angietown,Virginia,Average
195,3626,12-01-2025 18:08,5.93,Incoming,North Juliestad,Hawaii,Good
196,5008,23-01-2025 16:08,14.76,Outgoing,South Crystal,Indiana,Average
197,5005,15-12-2024 20:53,3.39,Outgoing,Tinachester,Hawaii,Average
198,1041,02-04-2025 20:42,10.34,Incoming,Gavinton,Indiana,Poor
199,2621,26-06-2025 21:44,17.82,Incoming,Friedmanfort,Kentucky,Good
200,2229,20-07-2025 04:27,0.42,Incoming,New Laurenside,Wisconsin,Average
201,5545,05-08-2025 20:37,3.23,Incoming,Sheriport,Minnesota,Poor
202,4982,17-06-2025 00:02,16.52,Outgoing,West Samuel,Mississippi,Good
203,1472,23-02-2025 18:12,11.73,Outgoing,Rhodeston,Delaware,Average
204,186,29-10-2025 07:18,5.85,Outgoing,Samuelland,Nevada,Average
205,1344,03-09-2025 07:39,9.78,Outgoing,North Jacksonmouth,Alaska,Poor
206,2688,25-03-2025 09:50,18.38,Incoming,North Douglasland,Kansas,Poor
207,1769,10-06-2025 23:14,15.4,Outgoing,West William,Missouri,Poor
208,947,08-05-2025 09:30,12.83,Incoming,Lake Katherineville,Michigan,Average
209,4763,15-01-2025 21:40,6.93,Incoming,Michaelberg,Massachusetts,Poor
210,1191,10-04-2025 12:45,2,Outgoing,North Erikafort,Vermont,Good
211,444,25-09-2025 00:47,3.7,Incoming,Tonyafort,Mississippi,Good
212,143,11-07-2025 00:10,2.56,Incoming,Port Crystal,Wisconsin,Average
213,4863,05-09-2025 22:05,8.34,Outgoing,Stephenside,North Carolina,Average
214,1087,13-04-2025 12:22,3.81,Incoming,Ramirezville,Hawaii,Good
215,769,19-06-2025 23:31,8.52,Outgoing,Aprilmouth,Arkansas,Average
216,5910,09-02-2025 14:31,9.52,Incoming,Knappbury,Hawaii,Poor
217,3478,13-05-2025 08:30,0.52,Outgoing,Boothmouth,New Mexico,Poor
218,2224,16-03-2025 03:25,3.45,Incoming,Elizabethmouth,North Carolina,Good
219,4041,22-01-2025 17:16,20,Incoming,South Deborahland,Michigan,Average
220,2230,15-06-2025 12:13,6.57,Incoming,New Sarah,North Carolina,Good
221,2934,06-01-2025 03:37,17.74,Outgoing,East John,Arkansas,Poor
222,3983,13-08-2025 11:31,18.66,Outgoing,Alexandraburgh,Montana,Average
223,324,01-08-2025 14:39,5.54,Outgoing,West Jonathan,Kentucky,Average
224,2112,03-04-2025 08:39,18.39,Outgoing,Baileymouth,Ohio,Poor
225,4834,18-12-2024 18:29,11.63,Outgoing,Lisaville,Oklahoma,Average
226,4453,12-10-2025 06:16,13.28,Outgoing,Port Lisaport,Tennessee,Poor
227,2819,03-02-2025 23:59,7.41,Incoming,New Mario,Wyoming,Poor
228,5905,23-05-2025 12:39,2.56,Incoming,North Cindy,West Virginia,Good
229,2681,09-11-2025 13:06,15.93,Outgoing,Leonview,Kentucky,Poor
230,225,13-11-2025 11:28,11.54,Outgoing,Barrystad,Minnesota,Average
231,2740,05-07-2025 19:45,12.2,Incoming,Lake Johnbury,Maryland,Poor
232,2714,08-10-2025 08:51,18.81,Incoming,Port Matthew,Kansas,Good
233,958,13-01-2025 16:41,13.48,Incoming,New Kendra,Oklahoma,Average
234,5781,20-07-2025 14:39,3.56,Incoming,Lake Alexanderstad,Georgia,Good
235,4547,16-09-2025 11:28,16.77,Incoming,Farmertown,Delaware,Average
236,3917,04-12-2024 16:00,2.39,Outgoing,Jeremyside,Arizona,Poor
237,633,04-03-2025 02:55,12.95,Outgoing,Lake Robertmouth,South Dakota,Poor
238,3570,03-07-2025 13:58,18.74,Incoming,Lake Lynnville,Idaho,Average
239,5541,13-05-2025 15:51,12.2,Outgoing,Lake Ginaland,Washington,Average
240,5651,29-07-2025 19:26,11.78,Outgoing,South Alexandra,Wisconsin,Good
241,3973,08-02-2025 04:16,9.97,Incoming,West Kyle,Nebraska,Poor
242,5803,25-06-2025 17:46,11.9,Incoming,Williamshire,New York,Poor
243,818,19-06-2025 02:20,4.36,Outgoing,Snydermouth,New Hampshire,Good
244,3121,03-07-2025 07:24,12.16,Incoming,Jasmineborough,Connecticut,Good
245,4289,12-03-2025 13:46,12.84,Outgoing,Jordanview,Louisiana,Good
246,3855,19-08-2025 00:53,13.88,Outgoing,West Rebecca,Massachusetts,Average
247,2810,29-06-2025 05:17,2.42,Outgoing,Rileyview,New York,Poor
248,1864,11-06-2025 01:01,4.15,Incoming,New Matthew,South Carolina,Good
249,1888,09-02-2025 00:30,0.21,Outgoing,West Tyler,South Carolina,Average
250,3169,09-05-2025 14:53,19.83,Outgoing,North Franciscomouth,Delaware,Average
251,2411,03-10-2025 08:52,9.44,Outgoing,Lake Alan,South Dakota,Poor
252,5922,23-10-2025 02:13,7.17,Incoming,Jacobmouth,Pennsylvania,Poor
253,4822,02-09-2025 11:32,6.09,Incoming,Ibarrahaven,California,Poor
254,5349,01-03-2025 17:29,9.52,Outgoing,Reyesland,Minnesota,Poor
255,4964,30-09-2025 15:42,12.6,Outgoing,West Antonio,California,Poor
256,4959,09-10-2025 18:26,9.55,Incoming,Rodriguezstad,Wyoming,Poor
257,1579,22-12-2024 20:38,5.95,Incoming,Alicechester,West Virginia,Average
258,3123,07-09-2025 06:00,19.65,Outgoing,Adkinsborough,Iowa,Poor
259,842,01-11-2025 13:16,13.25,Outgoing,Erichaven,Ohio,Poor
260,5351,23-03-2025 03:50,3.54,Outgoing,Lake Anitatown,Virginia,Good
261,1130,17-05-2025 00:28,19.73,Outgoing,Burgesston,Oklahoma,Average
262,4691,22-10-2025 22:36,19.17,Outgoing,Williamsfurt,Mississippi,Good
263,4828,17-10-2025 02:37,17.71,Incoming,Garcialand,Utah,Good
264,5979,19-11-2025 09:12,12.61,Incoming,New Gregory,Virginia,Good
265,5705,20-02-2025 13:51,16.88,Incoming,Johnstonside,Pennsylvania,Good
266,1671,13-08-2025 02:39,6.25,Outgoing,Nancybury,Utah,Good
267,3021,30-03-2025 12:47,4.85,Outgoing,West Yesenia,Illinois,Average
268,2163,09-05-2025 11:24,13.38,Outgoing,Port Johnfort,Missouri,Average
269,1489,10-04-2025 12:50,16.21,Outgoing,Joshuafort,North Carolina,Good
270,1701,15-07-2025 15:35,6.74,Outgoing,Robertsshire,Wisconsin,Poor
271,891,02-03-2025 04:07,5.5,Incoming,South Bobbymouth,Nebraska,Average
272,2636,13-09-2025 01:52,16.52,Outgoing,South Carrie,Tennessee,Good
273,4080,31-10-2025 03:53,13.41,Outgoing,North Kaitlynton,Alabama,Good
274,1000,26-03-2025 17:36,19.47,Outgoing,Marvinmouth,New Jersey,Good
275,1621,14-04-2025 18:11,13.53,Outgoing,South Ryan,Nevada,Average
276,1164,25-12-2024 07:57,0.81,Incoming,Lake Brian,North Carolina,Poor
277,4927,24-05-2025 15:01,3.85,Outgoing,Margaretmouth,Illinois,Average
278,1697,16-11-2025 06:01,17.33,Outgoing,East Angela,Oregon,Average
279,2314,07-09-2025 18:50,2.37,Outgoing,Port Robertton,Oklahoma,Average
280,2654,30-09-2025 16:37,6.68,Outgoing,South Jacob,Ohio,Good
281,2852,22-12-2024 23:53,15.6,Outgoing,Ryanport,Iowa,Poor
282,5860,02-12-2024 09:41,8.63,Incoming,Port Thomas,Virginia,Average
283,3985,20-01-2025 22:34,13.04,Outgoing,Lake Kathleenshire,Wyoming,Average
284,1649,16-09-2025 01:02,11.1,Incoming,Cynthiaport,Michigan,Average
285,673,26-05-2025 21:20,12.3,Incoming,Lake Staceyport,Nevada,Poor
286,1585,31-08-2025 23:32,13.5,Incoming,Barbaraburgh,Arizona,Poor
287,5979,23-01-2025 22:40,2.99,Outgoing,Paulfurt,North Dakota,Good
288,2160,01-02-2025 23:16,9.16,Outgoing,Allisonview,Ohio,Average
289,5987,19-08-2025 13:26,4.78,Outgoing,New Todd,Nebraska,Poor
290,2826,14-01-2025 05:11,18.15,Incoming,East Casey,Nebraska,Poor
291,197,29-10-2025 03:14,6.82,Incoming,Brianland,Vermont,Average
292,1519,03-10-2025 13:12,1.3,Outgoing,North Michelleburgh,California,Poor
293,2774,11-12-2024 16:58,4.41,Outgoing,Markside,Florida,Good
294,2696,10-05-2025 05:31,18.23,Incoming,New Dawnside,Michigan,Average
295,3983,23-11-2025 06:31,19.28,Incoming,New Stephanie,Montana,Average
296,1486,17-03-2025 19:58,15.19,Outgoing,Torreshaven,Georgia,Poor
297,3407,09-06-2025 15:49,14.64,Incoming,West Jacob,Minnesota,Good
298,405,02-05-2025 05:05,15.19,Incoming,North Tiffany,Kansas,Poor
299,25,13-01-2025 00:57,9.56,Incoming,Jasonchester,Texas,Good
300,2237,21-08-2025 09:32,8.76,Incoming,Fordberg,Missouri,Average
301,5849,10-02-2025 16:52,13.39,Incoming,Christopherview,Maryland,Poor
302,255,20-05-2025 02:33,9.65,Incoming,Aguilarhaven,Vermont,Poor
303,988,13-06-2025 11:25,16.85,Incoming,Powerston,Hawaii,Good
304,3963,26-01-2025 23:04,3.86,Outgoing,Cruzfurt,Indiana,Poor
305,5494,17-01-2025 19:53,1.6,Incoming,Adamsview,Vermont,Poor
306,1157,19-04-2025 06:38,1.89,Incoming,North Brandon,Nebraska,Average
307,218,15-08-2025 10:50,9.73,Outgoing,Cassandraside,New Hampshire,Good
308,3937,02-02-2025 18:44,8.67,Outgoing,South Donaldside,Rhode Island,Poor
309,3331,08-10-2025 19:12,3.25,Outgoing,Anthonyberg,West Virginia,Average
310,1239,12-06-2025 17:00,2.39,Incoming,Charlesfurt,Montana,Average
311,2800,07-03-2025 01:57,1.52,Outgoing,South Jennifer,South Carolina,Good
312,3179,09-11-2025 14:50,8.33,Outgoing,Port Tabitha,New Hampshire,Good
313,4503,16-12-2024 20:13,12.57,Outgoing,Laratown,South Carolina,Average
314,4572,11-05-2025 19:14,5.33,Incoming,North Janet,Nebraska,Poor
315,4940,09-05-2025 05:32,12.05,Outgoing,New Lisaborough,Nevada,Average
316,436,16-08-2025 21:47,5.14,Incoming,West Allison,Alabama,Poor
317,2439,13-10-2025 06:41,19.44,Outgoing,North Joseph,Colorado,Good
318,817,27-05-2025 06:34,2.65,Outgoing,East Richardbury,North Carolina,Good
319,413,11-12-2024 18:33,9.66,Incoming,North Monicaborough,Virginia,Good
320,2720,16-02-2025 19:28,11.43,Outgoing,Pittsview,Georgia,Average
321,1193,16-10-2025 10:10,17.11,Outgoing,East Rhondafurt,Virginia,Average
322,4970,20-01-2025 01:34,17.61,Incoming,Port Susan,North Dakota,Poor
323,1953,21-07-2025 15:33,5.95,Incoming,Carlsonbury,New Mexico,Poor
324,1139,29-01-2025 11:34,4.73,Incoming,Port Kevinberg,North Dakota,Average
325,3902,27-02-2025 02:32,5.23,Outgoing,West Jenniferview,Iowa,Average
326,4208,16-10-2025 10:57,0.6,Incoming,North Sherri,South Carolina,Average
327,349,24-10-2025 12:55,2.95,Incoming,Combsshire,Oklahoma,Good
328,4387,16-05-2025 07:53,19.24,Outgoing,Maloneside,Hawaii,Good
329,5096,02-03-2025 01:13,0.61,Outgoing,Lake Susanbury,Indiana,Average
330,5156,16-08-2025 07:08,14.39,Outgoing,Connieton,Kansas,Average
331,1834,09-07-2025 19:11,17.27,Outgoing,Port April,Nebraska,Average
332,1765,13-11-2025 20:33,12.71,Outgoing,New Taylor,Alabama,Poor
333,4682,03-02-2025 13:15,13.11,Incoming,Port Angelaview,California,Good
334,89,12-08-2025 13:21,5.74,Outgoing,Lake Rhondastad,Idaho,Poor
335,609,25-02-2025 18:23,3.26,Outgoing,Lake Dakotastad,Kansas,Poor
336,2399,01-03-2025 08:35,16.41,Outgoing,Myerschester,New York,Good
337,4556,17-06-2025 14:02,11.42,Outgoing,Pricehaven,Kansas,Average
338,5290,17-07-2025 02:53,7.12,Outgoing,Lake Jenniferborough,Kentucky,Average
339,2704,23-02-2025 06:42,9.98,Outgoing,Burnsberg,Montana,Good
