plan_id,plan_name,price,validity_days,data_per_day_gb,sms_per_day,unlimited_calls,plan_type
132,Airtel 399,599,84,1,300,TRUE,Postpaid
133,Airtel 199,199,28,2,300,FALSE,Prepaid
134,Airtel 199,299,28,3,200,TRUE,Postpaid
135,Airtel 299,199,84,3,100,FALSE,Prepaid
136,Airtel 399,599,28,1,300,TRUE,Prepaid
137,Airtel 499,499,28,2,200,FALSE,Prepaid
138,Airtel 399,399,56,2,200,TRUE,Prepaid
139,Airtel 499,499,84,1,300,FALSE,Prepaid
140,Airtel 499,299,84,3,300,FALSE,Postpaid
141,Airtel 499,499,84,2,300,FALSE,Prepaid
142,Airtel 499,299,84,2,200,TRUE,Prepaid
143,Airtel 399,399,28,3,300,TRUE,Postpaid
144,Airtel 299,599,28,3,200,FALSE,Prepaid
145,Airtel 199,599,56,1,100,FALSE,Prepaid
146,Airtel 499,199,56,3,100,FALSE,Prepaid
147,Airtel 299,499,84,2,300,TRUE,Postpaid
148,Airtel 299,599,28,1.5,300,FALSE,Prepaid
149,Airtel 199,499,28,3,100,TRUE,Prepaid
150,Airtel 499,399,84,1,300,TRUE,Prepaid
151,Airtel 299,299,56,1,100,FALSE,Prepaid
152,Airtel 199,199,56,3,100,FALSE,Prepaid
153,Airtel 399,199,28,1,300,TRUE,Prepaid
154,Airtel 299,599,56,2,300,FALSE,Postpaid
155,Airtel 499,399,84,1.5,200,TRUE,Prepaid
156,Airtel 399,599,84,1,300,TRUE,Postpaid
157,Airtel 199,499,56,1,200,TRUE,Postpaid
158,Airtel 399,399,84,1,200,TRUE,Postpaid
159,Airtel 199,499,28,2,200,TRUE,Prepaid
160,Airtel 399,299,56,3,300,TRUE,Postpaid
161,Airtel 499,199,28,1,200,FALSE,Postpaid
162,Airtel 199,299,56,3,100,TRUE,Prepaid
163,Airtel 499,599,28,2,100,TRUE,Postpaid
164,Airtel 399,599,28,2,100,TRUE,Postpaid
165,Airtel 499,199,84,2,200,TRUE,Postpaid
166,Airtel 299,299,84,2,100,FALSE,Prepaid
167,Airtel 299,499,28,3,200,FALSE,Prepaid
168,Airtel 499,299,84,1,300,TRUE,Prepaid
169,Airtel 299,599,84,1.5,100,TRUE,Prepaid
170,Airtel 299,599,28,3,100,TRUE,Postpaid
171,Airtel 499,399,28,1.5,200,TRUE,Postpaid
172,Airtel 299,599,84,2,200,TRUE,Postpaid
173,Airtel 499,299,56,3,100,FALSE,Prepaid
174,Airtel 399,199,56,1,100,TRUE,Postpaid
175,Airtel 299,599,28,1,100,FALSE,Prepaid
176,Airtel 199,599,56,3,300,FALSE,Postpaid
177,Airtel 199,599,28,1,100,TRUE,Postpaid
178,Airtel 499,599,56,1,200,TRUE,Postpaid
179,Airtel 299,399,84,2,100,FALSE,Postpaid
180,Airtel 399,599,28,3,100,FALSE,Prepaid
181,Airtel 199,599,28,2,100,FALSE,Postpaid
182,Airtel 499,299,56,1,100,FALSE,Prepaid
183,Airtel 399,299,28,3,200,TRUE,Prepaid
184,Airtel 399,399,84,1,300,TRUE,Prepaid
185,Airtel 199,299,56,2,200,FALSE,Prepaid
186,Airtel 399,599,56,1.5,100,TRUE,Prepaid
187,Airtel 499,399,28,1.5,300,TRUE,Postpaid
188,Airtel 199,299,84,3,300,TRUE,Postpaid
189,Airtel 499,199,28,1,100,FALSE,Postpaid
190,Airtel 499,199,84,1,100,FALSE,Prepaid
191,Airtel 199,599,84,1,200,FALSE,Postpaid
192,Airtel 199,499,84,3,300,FALSE,Postpaid
193,Airtel 199,199,84,1.5,200,FALSE,Postpaid
194,Airtel 199,199,28,1.5,300,TRUE,Prepaid
195,Airtel 299,599,84,3,100,TRUE,Postpaid
196,Airtel 399,199,84,3,300,FALSE,Prepaid
197,Airtel 299,499,56,1,100,FALSE,Postpaid
198,Airtel 499,199,28,1,100,TRUE,Prepaid
199,Airtel 199,599,56,3,200,TRUE,Postpaid
200,Airtel 299,599,28,1.5,300,TRUE,Postpaid
201,Airtel 499,299,56,1,300,TRUE,Postpaid
202,Airtel 399,399,84,3,300,TRUE,Postpaid
203,Airtel 499,199,28,2,100,FALSE,Prepaid
204,Airtel 499,399,56,2,100,FALSE,Postpaid
205,Airtel 199,599,28,1.5,200,FALSE,Prepaid
206,Airtel 299,599,84,3,200,TRUE,Prepaid
207,Airtel 199,499,56,1,100,FALSE,Postpaid
208,Airtel 299,299,28,1.5,200,FALSE,Prepaid
209,Airtel 399,299,28,1,200,TRUE,Prepaid
210,Airtel 299,299,84,3,100,TRUE,Prepaid
211,Airtel 499,199,84,2,200,TRUE,Postpaid
212,Airtel 499,499,84,1,100,TRUE,Prepaid
213,Airtel 199,599,28,3,200,FALSE,Postpaid
214,Airtel 399,299,84,1.5,300,FALSE,Prepaid
215,Airtel 299,299,84,2,200,FALSE,Postpaid
216,Airtel 499,499,56,1.5,100,FALSE,Prepaid
217,Airtel 299,499,56,2,200,FALSE,Postpaid
218,Airtel 499,499,56,1.5,100,FALSE,Postpaid
219,Airtel 299,199,28,2,300,FALSE,Prepaid
220,Airtel 199,299,56,1.5,100,FALSE,Postpaid
221,Airtel 399,499,84,1.5,300,TRUE,Postpaid
222,Airtel 399,399,84,1.5,200,TRUE,Prepaid
223,Airtel 199,299,28,1.5,200,TRUE,Prepaid
224,Airtel 299,399,28,2,200,FALSE,Prepaid
225,Airtel 499,399,56,1.5,200,TRUE,Prepaid
226,Airtel 199,299,28,1,100,FALSE,Postpaid
227,Airtel 199,199,56,1.5,300,FALSE,Postpaid
228,Airtel 499,499,84,2,300,TRUE,Prepaid
229,Airtel 199,399,28,2,200,FALSE,Postpaid
230,Airtel 299,499,84,1.5,100,FALSE,Postpaid
231,Airtel 199,599,56,1,200,TRUE,Postpaid
232,Airtel 299,499,84,1.5,200,FALSE,Postpaid
233,Airtel 299,199,56,3,100,FALSE,Postpaid
234,Airtel 199,199,84,2,300,FALSE,Prepaid
235,Airtel 499,399,56,2,300,FALSE,Prepaid
236,Airtel 399,399,28,1.5,100,TRUE,Prepaid
237,Airtel 199,199,28,2,300,TRUE,Prepaid
238,Airtel 199,299,28,2,100,FALSE,Postpaid
239,Airtel 499,299,28,3,100,FALSE,Postpaid
240,Airtel 299,599,56,1,300,TRUE,Prepaid
241,Airtel 299,399,28,1.5,300,TRUE,Postpaid
242,Airtel 499,499,56,2,300,TRUE,Prepaid
243,Airtel 199,299,56,1,200,FALSE,Postpaid
244,Airtel 199,599,56,1.5,100,FALSE,Prepaid
245,Airtel 299,299,84,1.5,300,TRUE,Prepaid
246,Airtel 199,599,28,3,300,FALSE,Prepaid
247,Airtel 399,199,84,3,200,TRUE,Postpaid
248,Airtel 299,399,84,1,200,TRUE,Postpaid
249,Airtel 499,299,56,1,300,FALSE,Prepaid
250,Airtel 299,399,56,2,300,TRUE,Prepaid
251,Airtel 399,399,28,3,300,FALSE,Postpaid
252,Airtel 499,299,84,2,100,TRUE,Postpaid
253,Airtel 299,299,28,1,100,TRUE,Prepaid
254,Airtel 199,299,84,3,300,TRUE,Prepaid
255,Airtel 399,299,56,3,300,TRUE,Prepaid
256,Airtel 399,399,56,3,200,TRUE,Postpaid
257,Airtel 299,299,84,3,200,TRUE,Postpaid
258,Airtel 199,599,84,1.5,100,TRUE,Prepaid
259,Airtel 199,499,56,3,200,TRUE,Prepaid
260,Airtel 299,499,28,2,100,FALSE,Prepaid
261,Airtel 499,499,84,2,200,FALSE,Prepaid
262,Airtel 499,599,28,1,200,TRUE,Prepaid
263,Airtel 199,499,56,3,200,TRUE,Prepaid
264,Airtel 399,199,56,1,100,TRUE,Postpaid
265,Airtel 299,299,84,1,100,TRUE,Prepaid
266,Airtel 199,399,56,3,100,FALSE,Postpaid
267,Airtel 299,499,28,2,200,FALSE,Prepaid
268,Airtel 499,299,56,2,300,TRUE,Prepaid
269,Airtel 499,299,28,1,300,FALSE,Postpaid
270,Airtel 299,499,84,1.5,300,FALSE,Prepaid
271,Airtel 199,499,56,1.5,200,TRUE,Postpaid
272,Airtel 199,399,28,1,100,FALSE,Postpaid
273,Airtel 399,299,56,2,100,FALSE,Prepaid
274,Airtel 399,299,28,1,300,FALSE,Prepaid
275,Airtel 199,599,84,1,200,TRUE,Prepaid
276,Airtel 299,399,28,1.5,300,FALSE,Prepaid
277,Airtel 299,299,56,2,100,FALSE,Postpaid
278,Airtel 299,399,84,3,100,TRUE,Prepaid
279,Airtel 499,299,84,1,200,TRUE,Postpaid
280,Airtel 299,299,28,3,300,FALSE,Postpaid
281,Airtel 299,599,28,1.5,200,FALSE,Postpaid
282,Airtel 499,299,84,1.5,300,TRUE,Postpaid
283,Airtel 399,299,28,3,300,FALSE,Postpaid
284,Airtel 499,599,28,1.5,100,TRUE,Prepaid
285,Airtel 499,499,28,3,300,FALSE,Prepaid
286,Airtel 399,199,84,1,300,TRUE,Prepaid
287,Airtel 399,599,56,1.5,200,TRUE,Postpaid
288,Airtel 399,599,56,1.5,200,TRUE,Prepaid
289,Airtel 299,199,56,3,300,FALSE,Prepaid
290,Airtel 399,499,84,1,200,FALSE,Prepaid
291,Airtel 199,199,28,1,300,FALSE,Prepaid
292,Airtel 499,599,56,3,100,TRUE,Prepaid
293,Airtel 499,399,56,1.5,100,FALSE,Prepaid
294,Airtel 199,599,56,3,100,FALSE,Postpaid
295,Airtel 199,299,28,1.5,300,TRUE,Prepaid
296,Airtel 299,599,84,1.5,100,TRUE,Prepaid
297,Airtel 499,399,28,1,300,TRUE,Prepaid
298,Airtel 299,399,28,2,100,TRUE,Postpaid
299,Airtel 199,499,84,3,200,TRUE,Postpaid
300,Airtel 499,199,56,3,100,TRUE,Postpaid
301,Airtel 299,399,56,2,300,FALSE,Prepaid
302,Airtel 399,399,56,3,200,TRUE,Prepaid
303,Airtel 399,499,56,2,100,TRUE,Prepaid
304,Airtel 499,299,56,3,300,FALSE,Postpaid
305,Airtel 199,499,28,1.5,300,FALSE,Postpaid
306,Airtel 399,299,84,1.5,100,TRUE,Prepaid
307,Airtel 499,199,28,2,200,FALSE,Postpaid
308,Airtel 199,299,56,1.5,300,TRUE,Postpaid
309,Airtel 199,299,28,2,300,FALSE,Postpaid
310,Airtel 199,499,56,1.5,200,TRUE,Prepaid
311,Airtel 299,299,28,1.5,300,TRUE,Prepaid
312,Airtel 199,499,28,3,100,TRUE,Postpaid
313,Airtel 299,499,28,2,100,FALSE,Prepaid
314,Airtel 299,199,28,2,200,TRUE,Prepaid
315,Airtel 199,299,28,2,100,TRUE,Postpaid
316,Airtel 399,299,84,1.5,200,FALSE,Prepaid
317,Airtel 499,399,56,3,200,TRUE,Postpaid
318,Airtel 399,599,56,2,200,TRUE,Postpaid
319,Airtel 499,299,56,1.5,100,TRUE,Postpaid
320,Airtel 199,499,84,1,100,FALSE,Prepaid
321,Airtel 299,199,28,1,300,TRUE,Prepaid
322,Airtel 399,499,56,1.5,300,TRUE,Prepaid
323,Airtel 399,599,84,2,100,TRUE,Postpaid
324,Airtel 199,299,28,1.5,100,TRUE,Prepaid
325,Airtel 399,299,56,3,200,FALSE,Postpaid
326,Airtel 299,199,84,1,300,FALSE,Prepaid
327,Airtel 199,599,28,1.5,300,FALSE,Prepaid
328,Airtel 499,199,28,1,200,FALSE,Postpaid
329,Airtel 399,199,56,1,100,TRUE,Postpaid
330,Airtel 299,599,28,3,300,TRUE,Prepaid
331,Airtel 199,199,56,2,300,FALSE,Prepaid
332,Airtel 499,599,28,2,100,FALSE,Prepaid
333,Airtel 299,399,56,1,200,TRUE,Prepaid
334,Airtel 499,499,56,3,200,TRUE,Postpaid
335,Airtel 299,299,28,2,100,TRUE,Prepaid
336,Airtel 199,599,56,3,200,FALSE,Prepaid
337,Airtel 499,599,84,3,200,FALSE,Postpaid
338,Airtel 299,199,84,1,300,TRUE,Postpaid
339,Airtel 399,499,56,1,100,FALSE,Postpaid
340,Airtel 499,299,56,3,300,FALSE,Postpaid
341,Airtel 299,199,28,1,200,TRUE,Postpaid
342,Airtel 499,499,28,3,300,FALSE,Postpaid
343,Airtel 299,299,84,2,100,TRUE,Postpaid
344,Airtel 199,599,56,2,200,TRUE,Prepaid
345,Airtel 499,199,28,2,200,TRUE,Prepaid
346,Airtel 199,499,56,2,200,TRUE,Prepaid
347,Airtel 199,499,84,1,300,TRUE,Postpaid
348,Airtel 199,199,56,1,100,TRUE,Postpaid
349,Airtel 299,299,56,1.5,300,TRUE,Postpaid
350,Airtel 199,499,56,1.5,300,FALSE,Prepaid
351,Airtel 499,199,56,3,200,TRUE,Prepaid
352,Airtel 399,399,28,2,300,FALSE,Prepaid
353,Airtel 499,399,84,1,200,FALSE,Prepaid
354,Airtel 299,599,56,1,200,TRUE,Prepaid
355,Airtel 299,599,84,1,200,TRUE,Prepaid
356,Airtel 499,399,84,1.5,200,FALSE,Prepaid
357,Airtel 399,499,56,1,200,FALSE,Postpaid
358,Airtel 399,499,84,1,300,TRUE,Prepaid
359,Airtel 499,399,84,3,100,TRUE,Postpaid
360,Airtel 199,499,84,1,100,TRUE,Prepaid
361,Airtel 199,399,28,2,100,TRUE,Prepaid
362,Airtel 199,399,28,3,200,FALSE,Postpaid
363,Airtel 199,199,56,1.5,200,TRUE,Postpaid
364,Airtel 299,199,84,1.5,200,TRUE,Prepaid
365,Airtel 199,499,84,1,200,FALSE,Postpaid
366,Airtel 199,199,84,1.5,200,FALSE,Prepaid
367,Airtel 199,599,56,1.5,300,FALSE,Postpaid
368,Airtel 499,499,84,3,100,TRUE,Prepaid
369,Airtel 399,399,56,2,100,FALSE,Prepaid
370,Airtel 499,299,28,1,100,FALSE,Postpaid
371,Airtel 199,599,84,3,200,TRUE,Prepaid
372,Airtel 199,499,84,1.5,300,FALSE,Prepaid
373,Airtel 399,499,84,1.5,100,FALSE,Postpaid
374,Airtel 199,499,28,1.5,100,TRUE,Postpaid
375,Airtel 299,299,28,3,300,TRUE,Prepaid
376,Airtel 499,299,28,2,200,FALSE,Prepaid
377,Airtel 499,299,84,1.5,300,TRUE,Postpaid
378,Airtel 199,199,84,2,300,FALSE,Prepaid
379,Airtel 499,199,84,1,300,FALSE,Prepaid
380,Airtel 399,199,56,2,100,TRUE,Postpaid
381,Airtel 199,499,28,1,300,TRUE,Prepaid
382,Airtel 299,299,28,1,100,FALSE,Postpaid
383,Airtel 299,399,56,1,100,FALSE,Prepaid
384,Airtel 499,599,56,3,100,TRUE,Prepaid
385,Airtel 499,399,56,1.5,100,FALSE,Prepaid
386,Airtel 499,499,84,3,300,TRUE,Prepaid
387,Airtel 499,399,56,3,200,TRUE,Postpaid
388,Airtel 199,299,28,1.5,200,FALSE,Postpaid
389,Airtel 499,499,84,1.5,300,FALSE,Prepaid
390,Airtel 499,499,56,2,200,TRUE,Prepaid
391,Airtel 399,199,56,2,200,FALSE,Postpaid
392,Airtel 499,599,56,2,200,FALSE,Prepaid
393,Airtel 299,399,56,2,100,TRUE,Postpaid
394,Airtel 199,299,56,3,300,TRUE,Postpaid
395,Airtel 399,299,56,1.5,100,TRUE,Postpaid
396,Airtel 399,599,56,2,200,FALSE,Prepaid
397,Airtel 299,199,28,3,200,TRUE,Postpaid
398,Airtel 299,599,56,1.5,300,FALSE,Prepaid
399,Airtel 199,199,28,1,100,FALSE,Prepaid
400,Airtel 499,299,84,1,200,FALSE,Prepaid
401,Airtel 399,299,56,3,300,TRUE,Postpaid
402,Airtel 499,499,84,1,300,TRUE,Postpaid
403,Airtel 499,299,28,1,300,FALSE,Prepaid
404,Airtel 299,199,56,3,200,TRUE,Postpaid
405,Airtel 399,599,84,3,200,TRUE,Postpaid
406,Airtel 199,199,84,3,100,FALSE,Postpaid
407,Airtel 499,599,56,3,300,FALSE,Prepaid
408,Airtel 499,599,84,1,300,TRUE,Prepaid
409,Airtel 499,299,56,1,100,FALSE,Postpaid
410,Airtel 299,299,84,3,300,FALSE,Postpaid
411,Airtel 499,499,56,3,100,TRUE,Prepaid
412,Airtel 199,299,84,1.5,100,TRUE,Postpaid
413,Airtel 299,199,56,2,100,FALSE,Postpaid
414,Airtel 499,599,28,1,300,FALSE,Postpaid
415,Airtel 399,499,28,2,100,FALSE,Postpaid
416,Airtel 299,299,84,1,200,TRUE,Postpaid
417,Airtel 199,199,28,2,200,FALSE,Prepaid
418,Airtel 399,199,28,1,300,TRUE,Postpaid
419,Airtel 199,399,56,1,200,TRUE,Prepaid
420,Airtel 299,299,28,1,200,FALSE,Postpaid
421,Airtel 499,199,84,2,100,FALSE,Prepaid
422,Airtel 499,299,28,3,100,FALSE,Prepaid
423,Airtel 399,299,84,2,300,FALSE,Prepaid
424,Airtel 499,599,56,2,300,FALSE,Prepaid
425,Airtel 299,499,28,1,300,FALSE,Prepaid
426,Airtel 199,399,84,2,300,FALSE,Prepaid
427,Airtel 199,499,28,2,300,TRUE,Prepaid
428,Airtel 299,199,56,1.5,200,TRUE,Postpaid
429,Airtel 299,199,28,2,200,TRUE,Prepaid
430,Airtel 399,599,56,1,300,TRUE,Postpaid
431,Airtel 299,299,56,1,300,TRUE,Postpaid
432,Airtel 499,199,56,1.5,300,FALSE,Prepaid
433,Airtel 299,299,56,1.5,300,FALSE,Postpaid
434,Airtel 399,399,56,1,200,TRUE,Prepaid
435,Airtel 299,399,56,3,100,TRUE,Postpaid
436,Airtel 499,599,84,1.5,100,TRUE,Prepaid
437,Airtel 399,499,28,1.5,300,TRUE,Prepaid
438,Airtel 199,199,84,3,200,TRUE,Prepaid
439,Airtel 299,499,84,1.5,200,FALSE,Postpaid
440,Airtel 399,599,56,2,100,TRUE,Prepaid
441,Airtel 399,399,84,1.5,200,FALSE,Postpaid
442,Airtel 299,599,84,1,100,FALSE,Prepaid
443,Airtel 399,599,28,2,300,TRUE,Postpaid
444,Airtel 299,499,28,2,100,FALSE,Prepaid
445,Airtel 499,299,56,3,200,FALSE,Prepaid
446,Airtel 399,299,28,1,200,TRUE,Prepaid
447,Airtel 299,399,56,3,300,TRUE,Prepaid
448,Airtel 299,299,28,3,200,FALSE,Prepaid
449,Airtel 299,399,84,3,100,FALSE,Postpaid
450,Airtel 399,599,56,1,200,FALSE,Postpaid
451,Airtel 299,499,84,3,200,FALSE,Postpaid
452,Airtel 299,199,28,1,200,TRUE,Prepaid
453,Airtel 299,399,84,1,300,FALSE,Postpaid
454,Airtel 499,199,84,2,200,FALSE,Postpaid
455,Airtel 199,499,56,3,200,FALSE,Prepaid
456,Airtel 299,599,56,3,300,TRUE,Postpaid
457,Airtel 499,299,28,3,300,TRUE,Prepaid
458,Airtel 399,499,84,1,200,TRUE,Postpaid
459,Airtel 499,499,84,2,200,FALSE,Prepaid
460,Airtel 399,199,56,3,300,TRUE,Postpaid
461,Airtel 299,499,84,1.5,200,FALSE,Prepaid
462,Airtel 299,599,56,3,200,TRUE,Prepaid
463,Airtel 399,299,56,3,300,TRUE,Prepaid
464,Airtel 399,499,28,2,100,TRUE,Postpaid
465,Airtel 399,199,84,1,300,TRUE,Postpaid
466,Airtel 199,299,56,3,200,FALSE,Postpaid
467,Airtel 299,499,56,1.5,100,FALSE,Postpaid
468,Airtel 499,499,56,2,100,FALSE,Prepaid
469,Airtel 299,599,84,1,300,TRUE,Postpaid
470,Airtel 499,299,84,1.5,200,TRUE,Postpaid
471,Airtel 499,299,84,1,200,FALSE,Prepaid
472,Airtel 299,299,28,1.5,300,FALSE,Postpaid
473,Airtel 299,599,56,3,100,FALSE,Prepaid
474,Airtel 499,199,56,3,100,TRUE,Prepaid
475,Airtel 399,199,84,3,200,FALSE,Postpaid
476,Airtel 399,399,28,3,200,FALSE,Prepaid
477,Airtel 199,299,84,1.5,100,FALSE,Prepaid
478,Airtel 499,499,84,1,100,FALSE,Postpaid
479,Airtel 299,399,56,2,200,FALSE,Prepaid
480,Airtel 399,399,28,1.5,100,FALSE,Postpaid
481,Airtel 499,299,56,3,100,FALSE,Postpaid
482,Airtel 399,199,56,3,300,FALSE,Prepaid
483,Airtel 299,299,84,2,200,TRUE,Prepaid
484,Airtel 399,399,84,2,300,FALSE,Postpaid
485,Airtel 499,199,28,1,100,FALSE,Prepaid
486,Airtel 199,399,84,1.5,300,TRUE,Postpaid
487,Airtel 299,199,56,2,200,FALSE,Postpaid
488,Airtel 399,399,56,3,200,TRUE,Postpaid
489,Airtel 299,599,56,3,300,TRUE,Postpaid
